年份,退休人数_万人,平均提取比例,人均账户余额_万港元,系统提取流出_亿港元,情景,备注
2031,8.89,0.373,56.08,185.9,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2032,9.02,0.372,58.6,196.65,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2033,9.16,0.371,61.24,208.03,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2034,9.29,0.37,63.99,220.05,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2035,9.43,0.369,66.87,232.77,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2036,9.57,0.368,69.88,246.23,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2037,9.72,0.367,73.03,260.46,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2038,9.86,0.366,76.31,275.51,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2039,10.01,0.365,79.75,291.43,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2040,10.16,0.364,83.34,308.26,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2041,10.31,0.363,87.09,326.07,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2042,10.47,0.362,91.01,344.9,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2043,10.63,0.361,95.1,364.82,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2044,10.79,0.36,99.38,385.88,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2045,10.95,0.359,103.85,408.16,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2046,11.11,0.358,108.53,431.71,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2047,11.28,0.357,113.41,456.63,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2048,11.45,0.356,118.51,482.98,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2049,11.62,0.355,123.85,510.84,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2050,11.79,0.354,129.42,540.31,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2051,11.97,0.353,135.24,571.48,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2052,12.15,0.352,141.33,604.44,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2053,12.33,0.351,147.69,639.29,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2054,12.52,0.35,154.34,676.14,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2055,12.7,0.349,161.28,715.12,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2056,12.9,0.348,168.54,756.34,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
