年份,年龄组,人数_万人,情景,备注
2044,55-64,107.45,中,结构漂移[假设]；总量级贴近香港老龄化路径
2044,65+,206.8,中,结构漂移[假设]；总量级贴近香港老龄化路径
2045,15-24,60.23,中,结构漂移[假设]；总量级贴近香港老龄化路径
2045,25-34,91.45,中,结构漂移[假设]；总量级贴近香港老龄化路径
2045,35-44,107.93,中,结构漂移[假设]；总量级贴近香港老龄化路径
2045,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2045,55-64,107.88,中,结构漂移[假设]；总量级贴近香港老龄化路径
2045,65+,210.52,中,结构漂移[假设]；总量级贴近香港老龄化路径
2046,15-24,59.99,中,结构漂移[假设]；总量级贴近香港老龄化路径
2046,25-34,91.27,中,结构漂移[假设]；总量级贴近香港老龄化路径
2046,35-44,107.82,中,结构漂移[假设]；总量级贴近香港老龄化路径
2046,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2046,55-64,108.31,中,结构漂移[假设]；总量级贴近香港老龄化路径
2046,65+,214.31,中,结构漂移[假设]；总量级贴近香港老龄化路径
2047,15-24,59.75,中,结构漂移[假设]；总量级贴近香港老龄化路径
2047,25-34,91.09,中,结构漂移[假设]；总量级贴近香港老龄化路径
2047,35-44,107.71,中,结构漂移[假设]；总量级贴近香港老龄化路径
2047,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2047,55-64,108.74,中,结构漂移[假设]；总量级贴近香港老龄化路径
2047,65+,218.17,中,结构漂移[假设]；总量级贴近香港老龄化路径
2048,15-24,59.51,中,结构漂移[假设]；总量级贴近香港老龄化路径
2048,25-34,90.91,中,结构漂移[假设]；总量级贴近香港老龄化路径
2048,35-44,107.61,中,结构漂移[假设]；总量级贴近香港老龄化路径
2048,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2048,55-64,109.18,中,结构漂移[假设]；总量级贴近香港老龄化路径
2048,65+,222.1,中,结构漂移[假设]；总量级贴近香港老龄化路径
2049,15-24,59.28,中,结构漂移[假设]；总量级贴近香港老龄化路径
2049,25-34,90.72,中,结构漂移[假设]；总量级贴近香港老龄化路径
2049,35-44,107.5,中,结构漂移[假设]；总量级贴近香港老龄化路径
2049,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2049,55-64,109.62,中,结构漂移[假设]；总量级贴近香港老龄化路径
2049,65+,226.09,中,结构漂移[假设]；总量级贴近香港老龄化路径
2050,15-24,59.04,中,结构漂移[假设]；总量级贴近香港老龄化路径
2050,25-34,90.54,中,结构漂移[假设]；总量级贴近香港老龄化路径
2050,35-44,107.39,中,结构漂移[假设]；总量级贴近香港老龄化路径
2050,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2050,55-64,110.05,中,结构漂移[假设]；总量级贴近香港老龄化路径
2050,65+,230.16,中,结构漂移[假设]；总量级贴近香港老龄化路径
2051,15-24,58.8,中,结构漂移[假设]；总量级贴近香港老龄化路径
2051,25-34,90.36,中,结构漂移[假设]；总量级贴近香港老龄化路径
2051,35-44,107.28,中,结构漂移[假设]；总量级贴近香港老龄化路径
2051,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2051,55-64,110.5,中,结构漂移[假设]；总量级贴近香港老龄化路径
2051,65+,234.31,中,结构漂移[假设]；总量级贴近香港老龄化路径
2052,15-24,58.57,中,结构漂移[假设]；总量级贴近香港老龄化路径
2052,25-34,90.18,中,结构漂移[假设]；总量级贴近香港老龄化路径
2052,35-44,107.18,中,结构漂移[假设]；总量级贴近香港老龄化路径
2052,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2052,55-64,110.94,中,结构漂移[假设]；总量级贴近香港老龄化路径
2052,65+,238.52,中,结构漂移[假设]；总量级贴近香港老龄化路径
2053,15-24,58.33,中,结构漂移[假设]；总量级贴近香港老龄化路径
2053,25-34,90.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2053,35-44,107.07,中,结构漂移[假设]；总量级贴近香港老龄化路径
2053,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2053,55-64,111.38,中,结构漂移[假设]；总量级贴近香港老龄化路径
2053,65+,242.82,中,结构漂移[假设]；总量级贴近香港老龄化路径
2054,15-24,58.1,中,结构漂移[假设]；总量级贴近香港老龄化路径
2054,25-34,89.82,中,结构漂移[假设]；总量级贴近香港老龄化路径
2054,35-44,106.96,中,结构漂移[假设]；总量级贴近香港老龄化路径
2054,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2054,55-64,111.83,中,结构漂移[假设]；总量级贴近香港老龄化路径
2054,65+,247.19,中,结构漂移[假设]；总量级贴近香港老龄化路径
2055,15-24,57.87,中,结构漂移[假设]；总量级贴近香港老龄化路径
2055,25-34,89.64,中,结构漂移[假设]；总量级贴近香港老龄化路径
2055,35-44,106.85,中,结构漂移[假设]；总量级贴近香港老龄化路径
2055,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2055,55-64,112.27,中,结构漂移[假设]；总量级贴近香港老龄化路径
2055,65+,251.64,中,结构漂移[假设]；总量级贴近香港老龄化路径
2056,15-24,57.64,中,结构漂移[假设]；总量级贴近香港老龄化路径
2056,25-34,89.46,中,结构漂移[假设]；总量级贴近香港老龄化路径
