年份,基金类型,年率化净回报率,年率化净回报率_百分比,情景,配置权重_中枢,来源或假设
2034,DIS核心累积基金,0.024,2.4,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2034,保守基金,0.001,0.1,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2035,股票基金,0.0376,3.76,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2035,混合资产基金,0.0276,2.76,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2035,DIS核心累积基金,0.0306,3.06,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2035,保守基金,0.0076,0.76,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2036,股票基金,0.04,4.0,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2036,混合资产基金,0.03,3.0,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2036,DIS核心累积基金,0.033,3.3,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2036,保守基金,0.01,1.0,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2037,股票基金,0.0366,3.66,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2037,混合资产基金,0.0266,2.66,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2037,DIS核心累积基金,0.0296,2.96,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2037,保守基金,0.0066,0.66,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2038,股票基金,0.029,2.9,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2038,混合资产基金,0.019,1.9,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2038,DIS核心累积基金,0.022,2.2,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2038,保守基金,-0.001,-0.1,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2039,股票基金,0.0214,2.14,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2039,混合资产基金,0.0114,1.14,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2039,DIS核心累积基金,0.0144,1.44,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2039,保守基金,-0.0086,-0.86,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2040,股票基金,0.018,1.8,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2040,混合资产基金,0.008,0.8,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2040,DIS核心累积基金,0.011,1.1,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2040,保守基金,-0.012,-1.2,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2041,股票基金,0.0204,2.04,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2041,混合资产基金,0.0104,1.04,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2041,DIS核心累积基金,0.0134,1.34,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2041,保守基金,-0.0096,-0.96,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2042,股票基金,0.027,2.7,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2042,混合资产基金,0.017,1.7,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2042,DIS核心累积基金,0.02,2.0,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2042,保守基金,-0.003,-0.3,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2043,股票基金,0.0336,3.36,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2043,混合资产基金,0.0236,2.36,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2043,DIS核心累积基金,0.0266,2.66,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2043,保守基金,0.0036,0.36,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2044,股票基金,0.036,3.6,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2044,混合资产基金,0.026,2.6,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2044,DIS核心累积基金,0.029,2.9,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2044,保守基金,0.006,0.6,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2045,股票基金,0.0326,3.26,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2045,混合资产基金,0.0226,2.26,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2045,DIS核心累积基金,0.0256,2.56,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2045,保守基金,0.0026,0.26,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2046,股票基金,0.025,2.5,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2046,混合资产基金,0.015,1.5,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2046,DIS核心累积基金,0.018,1.8,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2046,保守基金,-0.005,-0.5,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2047,股票基金,0.0174,1.74,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2047,混合资产基金,0.0074,0.74,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2047,DIS核心累积基金,0.0104,1.04,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2047,保守基金,-0.0126,-1.26,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2048,股票基金,0.014,1.4,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2048,混合资产基金,0.004,0.4,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2048,DIS核心累积基金,0.007,0.7,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2048,保守基金,-0.016,-1.6,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2049,股票基金,0.0164,1.64,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2049,混合资产基金,0.0064,0.64,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2049,DIS核心累积基金,0.0094,0.94,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2049,保守基金,-0.0136,-1.36,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2050,股票基金,0.023,2.3,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2050,混合资产基金,0.013,1.3,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2050,DIS核心累积基金,0.016,1.6,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2050,保守基金,-0.007,-0.7,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2051,股票基金,0.0296,2.96,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2051,混合资产基金,0.0196,1.96,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2051,DIS核心累积基金,0.0226,2.26,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2051,保守基金,-0.0004,-0.04,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2052,股票基金,0.032,3.2,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2052,混合资产基金,0.022,2.2,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2052,DIS核心累积基金,0.025,2.5,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2052,保守基金,0.002,0.2,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2053,股票基金,0.0286,2.86,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2053,混合资产基金,0.0186,1.86,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2053,DIS核心累积基金,0.0216,2.16,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2053,保守基金,-0.0014,-0.14,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2054,股票基金,0.021,2.1,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2054,混合资产基金,0.011,1.1,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2054,DIS核心累积基金,0.014,1.4,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2054,保守基金,-0.009,-0.9,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2055,股票基金,0.0134,1.34,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2055,混合资产基金,0.0034,0.34,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2055,DIS核心累积基金,0.0064,0.64,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2055,保守基金,-0.0166,-1.66,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2056,股票基金,0.01,1.0,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2056,混合资产基金,0.0,0.0,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2056,DIS核心累积基金,0.003,0.3,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2056,保守基金,-0.02,-2.0,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2026,股票基金,0.065,6.5,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2026,混合资产基金,0.045,4.5,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2026,DIS核心累积基金,0.05,5.0,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2026,保守基金,0.015,1.5,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2027,股票基金,0.0718,7.18,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2027,混合资产基金,0.0518,5.18,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2027,DIS核心累积基金,0.0568,5.68,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2027,保守基金,0.0218,2.18,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2028,股票基金,0.0744,7.44,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2028,混合资产基金,0.0544,5.44,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2028,DIS核心累积基金,0.0594,5.94,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2028,保守基金,0.0244,2.44,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2029,股票基金,0.0712,7.12,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2029,混合资产基金,0.0512,5.12,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2029,DIS核心累积基金,0.0562,5.62,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2029,保守基金,0.0212,2.12,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2030,股票基金,0.0638,6.38,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2030,混合资产基金,0.0438,4.38,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2030,DIS核心累积基金,0.0488,4.88,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2030,保守基金,0.0138,1.38,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2031,股票基金,0.0564,5.64,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2031,混合资产基金,0.0364,3.64,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2031,DIS核心累积基金,0.0414,4.14,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2031,保守基金,0.0064,0.64,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2032,股票基金,0.0532,5.32,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2032,混合资产基金,0.0332,3.32,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2032,DIS核心累积基金,0.0382,3.82,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2032,保守基金,0.0032,0.32,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2033,股票基金,0.0558,5.58,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2033,混合资产基金,0.0358,3.58,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2033,DIS核心累积基金,0.0408,4.08,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2033,保守基金,0.0058,0.58,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2034,股票基金,0.0626,6.26,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2034,混合资产基金,0.0426,4.26,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2034,DIS核心累积基金,0.0476,4.76,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2034,保守基金,0.0126,1.26,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2035,股票基金,0.0694,6.94,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2035,混合资产基金,0.0494,4.94,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2035,DIS核心累积基金,0.0544,5.44,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2035,保守基金,0.0194,1.94,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2036,股票基金,0.072,7.2,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2036,混合资产基金,0.052,5.2,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2036,DIS核心累积基金,0.057,5.7,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2036,保守基金,0.022,2.2,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2037,股票基金,0.0688,6.88,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2037,混合资产基金,0.0488,4.88,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2037,DIS核心累积基金,0.0538,5.38,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2037,保守基金,0.0188,1.88,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2038,股票基金,0.0614,6.14,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2038,混合资产基金,0.0414,4.14,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2038,DIS核心累积基金,0.0464,4.64,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2038,保守基金,0.0114,1.14,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2039,股票基金,0.054,5.4,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2039,混合资产基金,0.034,3.4,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2039,DIS核心累积基金,0.039,3.9,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2039,保守基金,0.004,0.4,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2040,股票基金,0.0508,5.08,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2040,混合资产基金,0.0308,3.08,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2040,DIS核心累积基金,0.0358,3.58,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2040,保守基金,0.0008,0.08,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2041,股票基金,0.0534,5.34,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2041,混合资产基金,0.0334,3.34,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2041,DIS核心累积基金,0.0384,3.84,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2041,保守基金,0.0034,0.34,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2042,股票基金,0.0602,6.02,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2042,混合资产基金,0.0402,4.02,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2042,DIS核心累积基金,0.0452,4.52,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2042,保守基金,0.0102,1.02,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2043,股票基金,0.067,6.7,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2043,混合资产基金,0.047,4.7,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2043,DIS核心累积基金,0.052,5.2,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2043,保守基金,0.017,1.7,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2044,股票基金,0.0696,6.96,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2044,混合资产基金,0.0496,4.96,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2044,DIS核心累积基金,0.0546,5.46,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2044,保守基金,0.0196,1.96,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2045,股票基金,0.0664,6.64,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2045,混合资产基金,0.0464,4.64,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2045,DIS核心累积基金,0.0514,5.14,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2045,保守基金,0.0164,1.64,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2046,股票基金,0.059,5.9,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2046,混合资产基金,0.039,3.9,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2046,DIS核心累积基金,0.044,4.4,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2046,保守基金,0.009,0.9,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2047,股票基金,0.0516,5.16,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2047,混合资产基金,0.0316,3.16,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2047,DIS核心累积基金,0.0366,3.66,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2047,保守基金,0.0016,0.16,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2048,股票基金,0.0484,4.84,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2048,混合资产基金,0.0284,2.84,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2048,DIS核心累积基金,0.0334,3.34,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2048,保守基金,-0.0016,-0.16,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2049,股票基金,0.051,5.1,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2049,混合资产基金,0.031,3.1,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2049,DIS核心累积基金,0.036,3.6,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2049,保守基金,0.001,0.1,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2050,股票基金,0.0578,5.78,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2050,混合资产基金,0.0378,3.78,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2050,DIS核心累积基金,0.0428,4.28,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2050,保守基金,0.0078,0.78,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2051,股票基金,0.0646,6.46,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2051,混合资产基金,0.0446,4.46,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2051,DIS核心累积基金,0.0496,4.96,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2051,保守基金,0.0146,1.46,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2052,股票基金,0.0672,6.72,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2052,混合资产基金,0.0472,4.72,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2052,DIS核心累积基金,0.0522,5.22,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2052,保守基金,0.0172,1.72,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2053,股票基金,0.064,6.4,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2053,混合资产基金,0.044,4.4,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2053,DIS核心累积基金,0.049,4.9,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2053,保守基金,0.014,1.4,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2054,股票基金,0.0566,5.66,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2054,混合资产基金,0.0366,3.66,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2054,DIS核心累积基金,0.0416,4.16,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2054,保守基金,0.0066,0.66,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2055,股票基金,0.0492,4.92,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2055,混合资产基金,0.0292,2.92,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2055,DIS核心累积基金,0.0342,3.42,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2055,保守基金,-0.0008,-0.08,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2056,股票基金,0.046,4.6,中,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2056,混合资产基金,0.026,2.6,中,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2056,DIS核心累积基金,0.031,3.1,中,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2056,保守基金,-0.004,-0.4,中,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2026,股票基金,0.095,9.5,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2026,混合资产基金,0.065,6.5,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2026,DIS核心累积基金,0.072,7.2,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
