年份,缴费人数_万人,劳动人口_万人,就业率,平均有关入息_港元每月,年强制性供款流入_亿港元,情景,自洽校验,备注
2048,286.23,408.89,0.97,30000,1030.41,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2049,286.51,409.3,0.97,30000,1031.44,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2050,286.8,409.71,0.97,30000,1032.47,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2051,287.08,410.12,0.97,30000,1033.5,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2052,287.37,410.53,0.97,30000,1034.54,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2053,287.66,410.94,0.97,30000,1035.57,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2054,287.95,411.35,0.97,30000,1036.61,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2055,288.23,411.76,0.97,30000,1037.64,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2056,288.52,412.18,0.97,30000,1038.68,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2026,280.0,400.0,0.97,21000.0,705.6,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2027,281.12,401.6,0.97,21735.0,733.22,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2028,282.24,403.21,0.97,22496.0,761.92,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2029,283.37,404.82,0.97,23283.0,791.74,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2030,284.51,406.44,0.97,24098.0,822.73,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2031,285.64,408.06,0.97,24941.0,854.93,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2032,286.79,409.7,0.97,25814.0,888.39,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2033,287.93,411.34,0.97,26718.0,923.16,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2034,289.09,412.98,0.97,27653.0,959.29,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2035,290.24,414.63,0.97,28621.0,996.84,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2036,291.4,416.29,0.97,29623.0,1035.86,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2037,292.57,417.96,0.97,30000,1053.25,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2038,293.74,419.63,0.97,30000,1057.46,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2039,294.91,421.31,0.97,30000,1061.69,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2040,296.09,422.99,0.97,30000,1065.94,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2041,297.28,424.68,0.97,30000,1070.2,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2042,298.47,426.38,0.97,30000,1074.48,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2043,299.66,428.09,0.97,30000,1078.78,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2044,300.86,429.8,0.97,30000,1083.1,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2045,302.06,431.52,0.97,30000,1087.43,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2046,303.27,433.25,0.97,30000,1091.78,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2047,304.49,434.98,0.97,30000,1096.15,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2048,305.7,436.72,0.97,30000,1100.53,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2049,306.93,438.47,0.97,30000,1104.93,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2050,308.15,440.22,0.97,30000,1109.35,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2051,309.39,441.98,0.97,30000,1113.79,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2052,310.62,443.75,0.97,30000,1118.25,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2053,311.87,445.52,0.97,30000,1122.72,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2054,313.11,447.31,0.97,30000,1127.21,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2055,314.37,449.09,0.97,30000,1131.72,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2056,315.62,450.89,0.97,30000,1136.24,高,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
