标签,性别,入职年龄,退休年龄,工作年数,起薪_月_港元,入息增速,累积期回报率,退休时账户余额_港元,累计供款_港元,累计投资收益_港元,供款占余额_pct,投资收益占余额_pct,退休前年薪_港元,余额相对前年薪倍数,备注
女/入职22/高收入×1.5/基准,女,22,65,43,30750.0,0.03,0.049,6285985.35,2003964.02,4282021.33,31.88,68.12,1315306.68,4.78,倍数≈账户余额/退休前年薪，非年金替代率
男/入职22/高收入×1.5/乐观,男,22,65,43,30750.0,0.03,0.07,11021311.73,2003964.02,9017347.72,18.18,81.82,1315306.68,8.38,倍数≈账户余额/退休前年薪，非年金替代率
女/入职22/高收入×1.5/乐观,女,22,65,43,30750.0,0.03,0.07,11021311.73,2003964.02,9017347.72,18.18,81.82,1315306.68,8.38,倍数≈账户余额/退休前年薪，非年金替代率
男/入职25/低收入×0.7/保守,男,25,65,40,14349.999999999998,0.03,0.03,2163605.68,1281157.05,882448.63,59.21,40.79,561722.91,3.85,倍数≈账户余额/退休前年薪，非年金替代率
女/入职25/低收入×0.7/保守,女,25,65,40,14349.999999999998,0.03,0.03,2163605.68,1281157.05,882448.63,59.21,40.79,561722.91,3.85,倍数≈账户余额/退休前年薪，非年金替代率
男/入职25/低收入×0.7/基准,男,25,65,40,14349.999999999998,0.03,0.049,3167184.38,1281157.05,1886027.33,40.45,59.55,561722.91,5.64,倍数≈账户余额/退休前年薪，非年金替代率
女/入职25/低收入×0.7/基准,女,25,65,40,14349.999999999998,0.03,0.049,3167184.38,1281157.05,1886027.33,40.45,59.55,561722.91,5.64,倍数≈账户余额/退休前年薪，非年金替代率
男/入职25/低收入×0.7/乐观,男,25,65,40,14349.999999999998,0.03,0.07,5023533.59,1281157.05,3742376.54,25.5,74.5,561722.91,8.94,倍数≈账户余额/退休前年薪，非年金替代率
女/入职25/低收入×0.7/乐观,女,25,65,40,14349.999999999998,0.03,0.07,5023533.59,1281157.05,3742376.54,25.5,74.5,561722.91,8.94,倍数≈账户余额/退休前年薪，非年金替代率
男/入职25/中位数/保守,男,25,65,40,20500.0,0.03,0.03,2836460.08,1614340.94,1222119.14,56.91,43.09,802461.3,3.53,倍数≈账户余额/退休前年薪，非年金替代率
女/入职25/中位数/保守,女,25,65,40,20500.0,0.03,0.03,2836460.08,1614340.94,1222119.14,56.91,43.09,802461.3,3.53,倍数≈账户余额/退休前年薪，非年金替代率
男/入职25/中位数/基准,男,25,65,40,20500.0,0.03,0.049,4241010.31,1614340.94,2626669.37,38.07,61.93,802461.3,5.29,倍数≈账户余额/退休前年薪，非年金替代率
女/入职25/中位数/基准,女,25,65,40,20500.0,0.03,0.049,4241010.31,1614340.94,2626669.37,38.07,61.93,802461.3,5.29,倍数≈账户余额/退休前年薪，非年金替代率
男/入职25/中位数/乐观,男,25,65,40,20500.0,0.03,0.07,6855592.02,1614340.94,5241251.08,23.55,76.45,802461.3,8.54,倍数≈账户余额/退休前年薪，非年金替代率
女/入职25/中位数/乐观,女,25,65,40,20500.0,0.03,0.07,6855592.02,1614340.94,5241251.08,23.55,76.45,802461.3,8.54,倍数≈账户余额/退休前年薪，非年金替代率
男/入职25/高收入×1.5/保守,男,25,65,40,30750.0,0.03,0.03,3442876.8,1859964.02,1582912.78,54.02,45.98,1203691.95,2.86,倍数≈账户余额/退休前年薪，非年金替代率
女/入职25/高收入×1.5/保守,女,25,65,40,30750.0,0.03,0.03,3442876.8,1859964.02,1582912.78,54.02,45.98,1203691.95,2.86,倍数≈账户余额/退休前年薪，非年金替代率
男/入职25/高收入×1.5/基准,男,25,65,40,30750.0,0.03,0.049,5314653.34,1859964.02,3454689.33,35.0,65.0,1203691.95,4.42,倍数≈账户余额/退休前年薪，非年金替代率
女/入职25/高收入×1.5/基准,女,25,65,40,30750.0,0.03,0.049,5314653.34,1859964.02,3454689.33,35.0,65.0,1203691.95,4.42,倍数≈账户余额/退休前年薪，非年金替代率
男/入职25/高收入×1.5/乐观,男,25,65,40,30750.0,0.03,0.07,8870706.2,1859964.02,7010742.18,20.97,79.03,1203691.95,7.37,倍数≈账户余额/退休前年薪，非年金替代率
女/入职25/高收入×1.5/乐观,女,25,65,40,30750.0,0.03,0.07,8870706.2,1859964.02,7010742.18,20.97,79.03,1203691.95,7.37,倍数≈账户余额/退休前年薪，非年金替代率
男/入职30/低收入×0.7/保守,男,30,65,35,14349.999999999998,0.03,0.03,1646519.32,1041157.05,605362.27,63.23,36.77,484547.11,3.4,倍数≈账户余额/退休前年薪，非年金替代率
女/入职30/低收入×0.7/保守,女,30,65,35,14349.999999999998,0.03,0.03,1646519.32,1041157.05,605362.27,63.23,36.77,484547.11,3.4,倍数≈账户余额/退休前年薪，非年金替代率
男/入职30/低收入×0.7/基准,男,30,65,35,14349.999999999998,0.03,0.049,2285032.08,1041157.05,1243875.03,45.56,54.44,484547.11,4.72,倍数≈账户余额/退休前年薪，非年金替代率
女/入职30/低收入×0.7/基准,女,30,65,35,14349.999999999998,0.03,0.049,2285032.08,1041157.05,1243875.03,45.56,54.44,484547.11,4.72,倍数≈账户余额/退休前年薪，非年金替代率
男/入职30/低收入×0.7/乐观,男,30,65,35,14349.999999999998,0.03,0.07,3384900.54,1041157.05,2343743.49,30.76,69.24,484547.11,6.99,倍数≈账户余额/退休前年薪，非年金替代率
女/入职30/低收入×0.7/乐观,女,30,65,35,14349.999999999998,0.03,0.07,3384900.54,1041157.05,2343743.49,30.76,69.24,484547.11,6.99,倍数≈账户余额/退休前年薪，非年金替代率
男/入职30/中位数/保守,男,30,65,35,20500.0,0.03,0.03,2226929.44,1374340.94,852588.5,61.71,38.29,692210.16,3.22,倍数≈账户余额/退休前年薪，非年金替代率
女/入职30/中位数/保守,女,30,65,35,20500.0,0.03,0.03,2226929.44,1374340.94,852588.5,61.71,38.29,692210.16,3.22,倍数≈账户余额/退休前年薪，非年金替代率
男/入职30/中位数/基准,男,30,65,35,20500.0,0.03,0.049,3130420.8,1374340.94,1756079.86,43.9,56.1,692210.16,4.52,倍数≈账户余额/退休前年薪，非年金替代率
女/入职30/中位数/基准,女,30,65,35,20500.0,0.03,0.049,3130420.8,1374340.94,1756079.86,43.9,56.1,692210.16,4.52,倍数≈账户余额/退休前年薪，非年金替代率
男/入职30/中位数/乐观,男,30,65,35,20500.0,0.03,0.07,4691132.89,1374340.94,3316791.95,29.3,70.7,692210.16,6.78,倍数≈账户余额/退休前年薪，非年金替代率
女/入职30/中位数/乐观,女,30,65,35,20500.0,0.03,0.07,4691132.89,1374340.94,3316791.95,29.3,70.7,692210.16,6.78,倍数≈账户余额/退休前年薪，非年金替代率
男/入职30/高收入×1.5/保守,男,30,65,35,30750.0,0.03,0.03,2750029.83,1619964.02,1130065.81,58.91,41.09,1038315.24,2.65,倍数≈账户余额/退休前年薪，非年金替代率
女/入职30/高收入×1.5/保守,女,30,65,35,30750.0,0.03,0.03,2750029.83,1619964.02,1130065.81,58.91,41.09,1038315.24,2.65,倍数≈账户余额/退休前年薪，非年金替代率
男/入职30/高收入×1.5/基准,男,30,65,35,30750.0,0.03,0.049,3975665.52,1619964.02,2355701.51,40.75,59.25,1038315.24,3.83,倍数≈账户余额/退休前年薪，非年金替代率
女/入职30/高收入×1.5/基准,女,30,65,35,30750.0,0.03,0.049,3975665.52,1619964.02,2355701.51,40.75,59.25,1038315.24,3.83,倍数≈账户余额/退休前年薪，非年金替代率
男/入职30/高收入×1.5/乐观,男,30,65,35,30750.0,0.03,0.07,6127881.45,1619964.02,4507917.43,26.44,73.56,1038315.24,5.9,倍数≈账户余额/退休前年薪，非年金替代率
女/入职30/高收入×1.5/乐观,女,30,65,35,30750.0,0.03,0.07,6127881.45,1619964.02,4507917.43,26.44,73.56,1038315.24,5.9,倍数≈账户余额/退休前年薪，非年金替代率
