sim_id,性别,提取模式,余命_年,死亡年龄,账户耗尽年龄,长寿缺口_年,是否长寿缺口
73,女,pct4,26.32,91.32,101.37,0.0,0
74,女,pct4,24.11,89.11,115.64,0.0,0
75,女,pct4,27.6,92.6,86.93,5.67,1
76,女,pct4,20.96,85.96,109.99,0.0,0
77,女,pct4,24.21,89.21,115.44,0.0,0
78,女,pct4,27.16,92.16,82.11,10.05,1
79,女,pct4,21.58,86.58,90.24,0.0,0
80,女,pct4,26.05,91.05,145.0,0.0,0
81,女,pct4,19.78,84.78,145.0,0.0,0
82,女,pct4,21.29,86.29,87.98,0.0,0
83,女,pct4,21.19,86.19,125.74,0.0,0
84,女,pct4,17.34,82.34,145.0,0.0,0
85,女,pct4,26.25,91.25,145.0,0.0,0
86,女,pct4,20.74,85.74,107.12,0.0,0
87,女,pct4,23.36,88.36,96.58,0.0,0
88,女,pct4,26.21,91.21,93.85,0.0,0
89,女,pct4,25.99,90.99,145.0,0.0,0
90,女,pct4,27.43,92.43,131.44,0.0,0
91,女,pct4,22.73,87.73,145.0,0.0,0
92,女,pct4,20.98,85.98,122.5,0.0,0
93,女,pct4,22.83,87.83,145.0,0.0,0
94,女,pct4,15.37,80.37,118.76,0.0,0
95,女,pct4,16.3,81.3,145.0,0.0,0
96,女,pct4,16.81,81.81,145.0,0.0,0
97,女,pct4,18.21,83.21,91.49,0.0,0
98,女,pct4,25.69,90.69,83.7,6.99,1
99,女,pct4,18.63,83.63,145.0,0.0,0
100,女,pct4,21.21,86.21,145.0,0.0,0
101,女,pct4,32.06,97.06,84.2,12.86,1
102,女,pct4,21.33,86.33,92.64,0.0,0
103,女,pct4,27.92,92.92,145.0,0.0,0
104,女,pct4,18.5,83.5,100.86,0.0,0
105,女,pct4,22.13,87.13,95.77,0.0,0
106,女,pct4,18.43,83.43,145.0,0.0,0
107,女,pct4,21.42,86.42,88.92,0.0,0
108,女,pct4,28.64,93.64,91.57,2.07,1
109,女,pct4,15.22,80.22,134.65,0.0,0
110,女,pct4,25.91,90.91,145.0,0.0,0
111,女,pct4,24.69,89.69,145.0,0.0,0
112,女,pct4,20.11,85.11,145.0,0.0,0
113,女,pct4,16.31,81.31,132.08,0.0,0
114,女,pct4,23.7,88.7,145.0,0.0,0
115,女,pct4,20.44,85.44,101.43,0.0,0
116,女,pct4,24.66,89.66,116.11,0.0,0
117,女,pct4,23.41,88.41,119.97,0.0,0
118,女,pct4,34.54,99.54,135.47,0.0,0
119,女,pct4,21.95,86.95,145.0,0.0,0
120,女,pct4,18.1,83.1,145.0,0.0,0
121,女,pct4,24.33,89.33,114.75,0.0,0
122,女,pct4,24.58,89.58,91.43,0.0,0
123,女,pct4,32.54,97.54,116.5,0.0,0
124,女,pct4,28.6,93.6,110.33,0.0,0
125,女,pct4,25.42,90.42,131.09,0.0,0
126,女,pct4,33.38,98.38,145.0,0.0,0
127,女,pct4,17.38,82.38,95.56,0.0,0
128,女,pct4,19.89,84.89,145.0,0.0,0
129,女,pct4,18.53,83.53,145.0,0.0,0
130,女,pct4,21.15,86.15,119.07,0.0,0
131,女,pct4,16.59,81.59,145.0,0.0,0
132,女,pct4,27.22,92.22,98.45,0.0,0
133,女,pct4,22.04,87.04,145.0,0.0,0
134,女,pct4,16.21,81.21,91.56,0.0,0
135,女,pct4,18.13,83.13,99.05,0.0,0
136,女,pct4,25.15,90.15,144.94,0.0,0
137,女,pct4,28.62,93.62,145.0,0.0,0
138,女,pct4,38.07,103.07,145.0,0.0,0
139,女,pct4,45.0,110.0,145.0,0.0,0
140,女,pct4,25.78,90.78,107.14,0.0,0
141,女,pct4,18.25,83.25,99.52,0.0,0
142,女,pct4,13.77,78.77,145.0,0.0,0
143,女,pct4,24.87,89.87,145.0,0.0,0
144,女,pct4,19.06,84.06,92.57,0.0,0
145,女,pct4,21.02,86.02,92.91,0.0,0
146,女,pct4,20.03,85.03,89.95,0.0,0
147,女,pct4,22.49,87.49,145.0,0.0,0
148,女,pct4,30.27,95.27,98.75,0.0,0
149,女,pct4,24.2,89.2,122.0,0.0,0
150,女,pct4,22.39,87.39,108.55,0.0,0
151,女,pct4,18.04,83.04,145.0,0.0,0
152,女,pct4,15.42,80.42,90.99,0.0,0
153,女,pct4,20.66,85.66,88.66,0.0,0
154,女,pct4,22.98,87.98,137.64,0.0,0
155,女,pct4,35.98,100.98,145.0,0.0,0
156,女,pct4,24.04,89.04,145.0,0.0,0
157,女,pct4,29.66,94.66,91.43,3.23,1
158,女,pct4,20.59,85.59,145.0,0.0,0
159,女,pct4,17.39,82.39,92.25,0.0,0
160,女,pct4,18.36,83.36,95.6,0.0,0
161,女,pct4,19.48,84.48,89.93,0.0,0
162,女,pct4,39.32,104.32,145.0,0.0,0
163,女,pct4,19.02,84.02,145.0,0.0,0
164,女,pct4,28.62,93.62,145.0,0.0,0
165,女,pct4,18.64,83.64,145.0,0.0,0
166,女,pct4,29.29,94.29,145.0,0.0,0
167,女,pct4,25.6,90.6,84.23,6.37,1
168,女,pct4,22.4,87.4,92.32,0.0,0
169,女,pct4,23.05,88.05,94.05,0.0,0
170,女,pct4,19.82,84.82,90.95,0.0,0
171,女,pct4,25.99,90.99,88.64,2.34,1
172,女,pct4,20.82,85.82,100.33,0.0,0
173,女,pct4,17.22,82.22,87.46,0.0,0
174,女,pct4,17.0,82.0,145.0,0.0,0
175,女,pct4,24.29,89.29,115.29,0.0,0
176,女,pct4,34.35,99.35,145.0,0.0,0
177,女,pct4,24.22,89.22,145.0,0.0,0
178,女,pct4,22.61,87.61,145.0,0.0,0
179,女,pct4,24.98,89.98,98.55,0.0,0
180,女,pct4,32.11,97.11,145.0,0.0,0
181,女,pct4,24.58,89.58,140.33,0.0,0
182,女,pct4,21.04,86.04,83.43,2.61,1
183,女,pct4,30.57,95.57,89.35,6.23,1
184,女,pct4,25.88,90.88,84.06,6.82,1
185,女,pct4,33.98,98.98,112.96,0.0,0
186,女,pct4,24.36,89.36,106.03,0.0,0
187,女,pct4,17.22,82.22,96.58,0.0,0
188,女,pct4,16.62,81.62,145.0,0.0,0
189,女,pct4,34.96,99.96,145.0,0.0,0
190,女,pct4,35.59,100.59,145.0,0.0,0
191,女,pct4,22.28,87.28,90.07,0.0,0
192,女,pct4,21.19,86.19,89.38,0.0,0
193,女,pct4,33.37,98.37,114.24,0.0,0
194,女,pct4,17.73,82.73,127.8,0.0,0
195,女,pct4,18.68,83.68,83.46,0.22,0
196,女,pct4,27.28,92.28,103.88,0.0,0
197,女,pct4,21.13,86.13,112.75,0.0,0
198,女,pct4,23.25,88.25,102.74,0.0,0
199,女,pct4,22.37,87.37,91.38,0.0,0
200,女,pct4,25.3,90.3,95.29,0.0,0
201,女,pct4,32.93,97.93,104.0,0.0,0
202,女,pct4,23.81,88.81,118.43,0.0,0
203,女,pct4,27.28,92.28,145.0,0.0,0
204,女,pct4,14.05,79.05,145.0,0.0,0
205,女,pct4,23.01,88.01,100.47,0.0,0
206,女,pct4,18.92,83.92,96.81,0.0,0
207,女,pct4,17.25,82.25,145.0,0.0,0
208,女,pct4,18.76,83.76,145.0,0.0,0
209,女,pct4,21.44,86.44,97.25,0.0,0
210,女,pct4,29.17,94.17,145.0,0.0,0
211,女,pct4,16.8,81.8,145.0,0.0,0
212,女,pct4,23.46,88.46,145.0,0.0,0
213,女,pct4,20.67,85.67,145.0,0.0,0
214,女,pct4,21.48,86.48,90.77,0.0,0
215,女,pct4,29.8,94.8,112.74,0.0,0
216,女,pct4,26.58,91.58,112.58,0.0,0
217,女,pct4,32.36,97.36,107.0,0.0,0
218,女,pct4,22.41,87.41,93.55,0.0,0
219,女,pct4,19.62,84.62,85.55,0.0,0
220,女,pct4,22.03,87.03,118.59,0.0,0
221,女,pct4,24.72,89.72,91.93,0.0,0
222,女,pct4,24.32,89.32,118.0,0.0,0
223,女,pct4,17.83,82.83,91.62,0.0,0
224,女,pct4,23.81,88.81,88.44,0.36,0
225,女,pct4,24.63,89.63,140.3,0.0,0
226,女,pct4,43.28,108.28,124.76,0.0,0
227,女,pct4,36.96,101.96,145.0,0.0,0
228,女,pct4,18.87,83.87,145.0,0.0,0
229,女,pct4,21.69,86.69,145.0,0.0,0
230,女,pct4,16.24,81.24,145.0,0.0,0
231,女,pct4,20.13,85.13,88.64,0.0,0
232,女,pct4,25.16,90.16,86.92,3.24,1
233,女,pct4,31.33,96.33,145.0,0.0,0
234,女,pct4,19.46,84.46,90.15,0.0,0
235,女,pct4,19.82,84.82,88.95,0.0,0
236,女,pct4,13.72,78.72,109.75,0.0,0
237,女,pct4,22.37,87.37,107.34,0.0,0
238,女,pct4,17.92,82.92,90.37,0.0,0
239,女,pct4,20.44,85.44,100.2,0.0,0
240,女,pct4,18.76,83.76,145.0,0.0,0
241,女,pct4,22.75,87.75,91.47,0.0,0
242,女,pct4,15.1,80.1,86.16,0.0,0
243,女,pct4,16.22,81.22,145.0,0.0,0
244,女,pct4,39.33,104.33,145.0,0.0,0
245,女,pct4,16.96,81.96,93.98,0.0,0
246,女,pct4,17.77,82.77,84.95,0.0,0
247,女,pct4,36.6,101.6,92.24,9.36,1
248,女,pct4,45.0,110.0,108.97,1.03,1
249,女,pct4,17.45,82.45,145.0,0.0,0
250,女,pct4,21.27,86.27,89.02,0.0,0
251,女,pct4,25.33,90.33,107.59,0.0,0
252,女,pct4,35.64,100.64,145.0,0.0,0
253,女,pct4,18.26,83.26,81.23,2.03,1
254,女,pct4,21.92,86.92,145.0,0.0,0
255,女,pct4,28.19,93.19,87.74,5.46,1
256,女,pct4,25.91,90.91,145.0,0.0,0
257,女,pct4,21.22,86.22,144.16,0.0,0
258,女,pct4,22.53,87.53,145.0,0.0,0
259,女,pct4,16.6,81.6,145.0,0.0,0
260,女,pct4,21.96,86.96,81.24,5.72,1
261,女,pct4,21.81,86.81,91.73,0.0,0
262,女,pct4,24.65,89.65,123.22,0.0,0
263,女,pct4,20.31,85.31,103.39,0.0,0
264,女,pct4,26.15,91.15,145.0,0.0,0
265,女,pct4,29.88,94.88,145.0,0.0,0
266,女,pct4,24.19,89.19,145.0,0.0,0
267,女,pct4,25.39,90.39,102.77,0.0,0
268,女,pct4,23.59,88.59,83.51,5.08,1
269,女,pct4,23.28,88.28,96.83,0.0,0
270,女,pct4,19.49,84.49,145.0,0.0,0
271,女,pct4,25.17,90.17,88.53,1.64,1
272,女,pct4,22.73,87.73,145.0,0.0,0
273,女,pct4,38.98,103.98,145.0,0.0,0
274,女,pct4,34.3,99.3,121.94,0.0,0
275,女,pct4,25.6,90.6,79.1,11.51,1
276,女,pct4,19.3,84.3,86.99,0.0,0
277,女,pct4,17.7,82.7,145.0,0.0,0
278,女,pct4,31.22,96.22,95.17,1.05,1
279,女,pct4,24.84,89.84,82.85,6.99,1
280,女,pct4,26.21,91.21,145.0,0.0,0
281,女,pct4,15.15,80.15,112.71,0.0,0
282,女,pct4,29.26,94.26,145.0,0.0,0
283,女,pct4,26.04,91.04,145.0,0.0,0
284,女,pct4,17.71,82.71,145.0,0.0,0
285,女,pct4,20.73,85.73,145.0,0.0,0
286,女,pct4,24.85,89.85,145.0,0.0,0
287,女,pct4,23.59,88.59,145.0,0.0,0
288,女,pct4,21.67,86.67,145.0,0.0,0
289,女,pct4,22.7,87.7,84.96,2.74,1
290,女,pct4,21.88,86.88,145.0,0.0,0
291,女,pct4,24.17,89.17,145.0,0.0,0
292,女,pct4,33.45,98.45,145.0,0.0,0
293,女,pct4,12.38,77.38,97.4,0.0,0
294,女,pct4,21.96,86.96,145.0,0.0,0
295,女,pct4,24.32,89.32,145.0,0.0,0
296,女,pct4,25.04,90.04,145.0,0.0,0
297,女,pct4,21.25,86.25,92.17,0.0,0
298,女,pct4,15.11,80.11,95.85,0.0,0
299,女,pct4,25.24,90.24,100.17,0.0,0
300,女,pct4,35.63,100.63,96.17,4.46,1
301,女,pct4,15.96,80.96,90.51,0.0,0
302,女,pct4,28.8,93.8,79.96,13.84,1
303,女,pct4,21.47,86.47,97.24,0.0,0
304,女,pct4,22.93,87.93,145.0,0.0,0
305,女,pct4,17.97,82.97,96.11,0.0,0
306,女,pct4,21.44,86.44,145.0,0.0,0
307,女,pct4,32.07,97.07,112.71,0.0,0
308,女,pct4,26.88,91.88,145.0,0.0,0
309,女,pct4,35.67,100.67,145.0,0.0,0
310,女,pct4,31.11,96.11,145.0,0.0,0
311,女,pct4,25.94,90.94,145.0,0.0,0
312,女,pct4,35.77,100.77,145.0,0.0,0
313,女,pct4,25.94,90.94,115.6,0.0,0
314,女,pct4,28.55,93.55,145.0,0.0,0
315,女,pct4,21.64,86.64,145.0,0.0,0
316,女,pct4,23.67,88.67,100.63,0.0,0
317,女,pct4,19.61,84.61,145.0,0.0,0
318,女,pct4,29.71,94.71,145.0,0.0,0
319,女,pct4,17.42,82.42,101.12,0.0,0
320,女,pct4,28.23,93.23,145.0,0.0,0
321,女,pct4,22.22,87.22,145.0,0.0,0
322,女,pct4,31.07,96.07,145.0,0.0,0
323,女,pct4,28.01,93.01,112.61,0.0,0
324,女,pct4,36.45,101.45,81.22,20.23,1
325,女,pct4,27.87,92.87,145.0,0.0,0
326,女,pct4,15.81,80.81,81.85,0.0,0
327,女,pct4,22.9,87.9,145.0,0.0,0
328,女,pct4,17.45,82.45,127.28,0.0,0
329,女,pct4,20.49,85.49,145.0,0.0,0
330,女,pct4,33.78,98.78,90.38,8.4,1
331,女,pct4,27.24,92.24,85.13,7.11,1
332,女,pct4,19.6,84.6,145.0,0.0,0
333,女,pct4,18.14,83.14,110.04,0.0,0
334,女,pct4,23.47,88.47,96.14,0.0,0
335,女,pct4,17.26,82.26,117.89,0.0,0
336,女,pct4,19.74,84.74,145.0,0.0,0
337,女,pct4,25.14,90.14,145.0,0.0,0
338,女,pct4,30.94,95.94,145.0,0.0,0
339,女,pct4,27.05,92.05,145.0,0.0,0
340,女,pct4,13.24,78.24,145.0,0.0,0
341,女,pct4,25.1,90.1,103.55,0.0,0
342,女,pct4,23.7,88.7,82.54,6.16,1
343,女,pct4,25.78,90.78,103.6,0.0,0
344,女,pct4,34.66,99.66,145.0,0.0,0
345,女,pct4,14.01,79.01,89.67,0.0,0
346,女,pct4,20.13,85.13,104.01,0.0,0
347,女,pct4,26.93,91.93,92.95,0.0,0
348,女,pct4,15.77,80.77,145.0,0.0,0
349,女,pct4,33.49,98.49,145.0,0.0,0
350,女,pct4,25.49,90.49,145.0,0.0,0
351,女,pct4,28.68,93.68,145.0,0.0,0
352,女,pct4,20.23,85.23,109.85,0.0,0
353,女,pct4,28.45,93.45,131.89,0.0,0
354,女,pct4,30.29,95.29,87.72,7.57,1
355,女,pct4,24.66,89.66,81.98,7.67,1
356,女,pct4,24.67,89.67,124.66,0.0,0
357,女,pct4,24.89,89.89,145.0,0.0,0
358,女,pct4,18.82,83.82,145.0,0.0,0
359,女,pct4,22.45,87.45,145.0,0.0,0
360,女,pct4,22.43,87.43,145.0,0.0,0
361,女,pct4,25.59,90.59,89.39,1.2,1
362,女,pct4,29.78,94.78,99.03,0.0,0
363,女,pct4,17.94,82.94,145.0,0.0,0
364,女,pct4,22.58,87.58,145.0,0.0,0
365,女,pct4,33.53,98.53,145.0,0.0,0
366,女,pct4,19.39,84.39,145.0,0.0,0
367,女,pct4,19.02,84.02,98.23,0.0,0
368,女,pct4,24.47,89.47,90.58,0.0,0
369,女,pct4,28.66,93.66,145.0,0.0,0
370,女,pct4,23.35,88.35,88.44,0.0,0
371,女,pct4,32.3,97.3,102.03,0.0,0
372,女,pct4,28.75,93.75,106.31,0.0,0
373,女,pct4,28.65,93.65,145.0,0.0,0
374,女,pct4,26.69,91.69,98.98,0.0,0
375,女,pct4,41.3,106.3,81.02,25.28,1
376,女,pct4,22.14,87.14,145.0,0.0,0
377,女,pct4,14.22,79.22,92.85,0.0,0
378,女,pct4,34.56,99.56,114.64,0.0,0
379,女,pct4,20.8,85.8,107.5,0.0,0
380,女,pct4,23.91,88.91,101.03,0.0,0
381,女,pct4,32.14,97.14,145.0,0.0,0
382,女,pct4,15.69,80.69,85.25,0.0,0
383,女,pct4,17.11,82.11,95.68,0.0,0
384,女,pct4,15.7,80.7,145.0,0.0,0
385,女,pct4,19.15,84.15,94.08,0.0,0
386,女,pct4,25.95,90.95,84.79,6.15,1
387,女,pct4,26.49,91.49,145.0,0.0,0
388,女,pct4,24.92,89.92,145.0,0.0,0
389,女,pct4,16.44,81.44,109.46,0.0,0
390,女,pct4,13.18,78.18,82.96,0.0,0
391,女,pct4,23.6,88.6,145.0,0.0,0
392,女,pct4,20.73,85.73,84.5,1.23,1
393,女,pct4,26.07,91.07,145.0,0.0,0
394,女,pct4,27.68,92.68,90.53,2.14,1
395,女,pct4,24.09,89.09,87.93,1.16,1
396,女,pct4,28.08,93.08,97.09,0.0,0
397,女,pct4,24.64,89.64,103.78,0.0,0
398,女,pct4,26.53,91.53,93.63,0.0,0
399,女,pct4,19.57,84.57,145.0,0.0,0
400,女,pct4,22.28,87.28,97.01,0.0,0
401,女,pct4,24.44,89.44,145.0,0.0,0
402,女,pct4,28.5,93.5,145.0,0.0,0
403,女,pct4,21.13,86.13,92.87,0.0,0
404,女,pct4,26.47,91.47,90.77,0.7,1
405,女,pct4,21.81,86.81,84.57,2.24,1
406,女,pct4,22.62,87.62,145.0,0.0,0
407,女,pct4,28.56,93.56,98.98,0.0,0
408,女,pct4,14.25,79.25,81.26,0.0,0
409,女,pct4,16.92,81.92,95.35,0.0,0
410,女,pct4,16.16,81.16,90.39,0.0,0
411,女,pct4,13.11,78.11,145.0,0.0,0
412,女,pct4,19.7,84.7,84.26,0.44,0
413,女,pct4,28.0,93.0,85.83,7.17,1
414,女,pct4,21.71,86.71,145.0,0.0,0
415,女,pct4,24.45,89.45,145.0,0.0,0
416,女,pct4,30.45,95.45,92.23,3.21,1
417,女,pct4,32.29,97.29,93.81,3.48,1
418,女,pct4,22.89,87.89,145.0,0.0,0
419,女,pct4,32.49,97.49,81.43,16.07,1
420,女,pct4,23.82,88.82,83.44,5.38,1
421,女,pct4,18.95,83.95,100.84,0.0,0
422,女,pct4,20.11,85.11,145.0,0.0,0
423,女,pct4,16.17,81.17,97.22,0.0,0
424,女,pct4,18.71,83.71,119.34,0.0,0
425,女,pct4,21.32,86.32,145.0,0.0,0
426,女,pct4,28.38,93.38,145.0,0.0,0
427,女,pct4,35.57,100.57,94.67,5.9,1
428,女,pct4,16.57,81.57,110.94,0.0,0
429,女,pct4,25.65,90.65,145.0,0.0,0
430,女,pct4,18.02,83.02,85.31,0.0,0
431,女,pct4,26.17,91.17,145.0,0.0,0
432,女,pct4,22.54,87.54,89.19,0.0,0
433,女,pct4,14.83,79.83,119.49,0.0,0
434,女,pct4,29.26,94.26,101.91,0.0,0
435,女,pct4,20.06,85.06,89.79,0.0,0
436,女,pct4,20.42,85.42,89.54,0.0,0
437,女,pct4,17.89,82.89,145.0,0.0,0
438,女,pct4,19.82,84.82,145.0,0.0,0
439,女,pct4,25.87,90.87,105.72,0.0,0
440,女,pct4,22.22,87.22,116.69,0.0,0
441,女,pct4,25.25,90.25,145.0,0.0,0
442,女,pct4,25.45,90.45,89.65,0.8,1
443,女,pct4,32.23,97.23,145.0,0.0,0
444,女,pct4,21.4,86.4,145.0,0.0,0
445,女,pct4,16.19,81.19,145.0,0.0,0
446,女,pct4,30.28,95.28,98.49,0.0,0
447,女,pct4,21.46,86.46,96.78,0.0,0
448,女,pct4,30.64,95.64,145.0,0.0,0
449,女,pct4,25.59,90.59,145.0,0.0,0
450,女,pct4,22.54,87.54,95.37,0.0,0
451,女,pct4,25.37,90.37,97.89,0.0,0
452,女,pct4,37.64,102.64,145.0,0.0,0
453,女,pct4,38.83,103.83,91.21,12.61,1
454,女,pct4,23.68,88.68,97.74,0.0,0
455,女,pct4,24.22,89.22,118.32,0.0,0
456,女,pct4,30.35,95.35,145.0,0.0,0
457,女,pct4,18.91,83.91,94.23,0.0,0
458,女,pct4,25.27,90.27,83.53,6.74,1
459,女,pct4,23.14,88.14,83.17,4.97,1
460,女,pct4,25.15,90.15,87.13,3.02,1
461,女,pct4,18.96,83.96,86.73,0.0,0
462,女,pct4,15.74,80.74,104.78,0.0,0
463,女,pct4,13.98,78.98,87.69,0.0,0
464,女,pct4,17.68,82.68,92.79,0.0,0
465,女,pct4,20.8,85.8,91.86,0.0,0
466,女,pct4,21.66,86.66,97.12,0.0,0
467,女,pct4,37.51,102.51,145.0,0.0,0
468,女,pct4,30.57,95.57,145.0,0.0,0
469,女,pct4,18.37,83.37,112.88,0.0,0
470,女,pct4,25.36,90.36,96.72,0.0,0
471,女,pct4,21.06,86.06,97.27,0.0,0
472,女,pct4,21.71,86.71,145.0,0.0,0
473,女,pct4,24.37,89.37,145.0,0.0,0
474,女,pct4,27.12,92.12,90.32,1.8,1
475,女,pct4,21.42,86.42,114.22,0.0,0
476,女,pct4,30.26,95.26,82.64,12.62,1
477,女,pct4,17.58,82.58,134.72,0.0,0
478,女,pct4,23.32,88.32,145.0,0.0,0
479,女,pct4,44.14,109.14,100.85,8.29,1
480,女,pct4,24.6,89.6,145.0,0.0,0
481,女,pct4,33.14,98.14,90.6,7.53,1
482,女,pct4,23.81,88.81,135.99,0.0,0
483,女,pct4,26.86,91.86,109.92,0.0,0
484,女,pct4,22.96,87.96,106.91,0.0,0
485,女,pct4,22.33,87.33,106.33,0.0,0
486,女,pct4,19.22,84.22,119.93,0.0,0
487,女,pct4,25.89,90.89,145.0,0.0,0
488,女,pct4,18.88,83.88,145.0,0.0,0
489,女,pct4,27.43,92.43,111.77,0.0,0
490,女,pct4,30.42,95.42,145.0,0.0,0
491,女,pct4,25.48,90.48,92.81,0.0,0
492,女,pct4,21.7,86.7,145.0,0.0,0
493,女,pct4,26.04,91.04,92.01,0.0,0
494,女,pct4,21.58,86.58,145.0,0.0,0
495,女,pct4,29.31,94.31,145.0,0.0,0
496,女,pct4,14.83,79.83,106.02,0.0,0
497,女,pct4,21.44,86.44,81.96,4.48,1
498,女,pct4,14.26,79.26,95.14,0.0,0
499,女,pct4,16.11,81.11,145.0,0.0,0
500,女,pct4,32.58,97.58,145.0,0.0,0
501,女,pct4,29.02,94.02,144.93,0.0,0
502,女,pct4,19.5,84.5,145.0,0.0,0
503,女,pct4,16.08,81.08,145.0,0.0,0
504,女,pct4,11.22,76.22,145.0,0.0,0
505,女,pct4,20.37,85.37,145.0,0.0,0
506,女,pct4,42.25,107.25,145.0,0.0,0
507,女,pct4,25.91,90.91,145.0,0.0,0
508,女,pct4,20.29,85.29,145.0,0.0,0
509,女,pct4,26.11,91.11,100.14,0.0,0
510,女,pct4,15.85,80.85,94.28,0.0,0
511,女,pct4,21.64,86.64,145.0,0.0,0
512,女,pct4,23.86,88.86,135.71,0.0,0
513,女,pct4,22.8,87.8,145.0,0.0,0
514,女,pct4,28.29,93.29,121.61,0.0,0
515,女,pct4,25.35,90.35,94.51,0.0,0
516,女,pct4,27.45,92.45,112.56,0.0,0
517,女,pct4,19.65,84.65,145.0,0.0,0
518,女,pct4,29.04,94.04,145.0,0.0,0
519,女,pct4,34.77,99.77,84.21,15.56,1
520,女,pct4,18.34,83.34,102.74,0.0,0
521,女,pct4,18.71,83.71,145.0,0.0,0
522,女,pct4,32.35,97.35,102.79,0.0,0
523,女,pct4,22.21,87.21,83.74,3.47,1
524,女,pct4,32.9,97.9,145.0,0.0,0
525,女,pct4,20.88,85.88,145.0,0.0,0
526,女,pct4,33.31,98.31,108.25,0.0,0
527,女,pct4,24.05,89.05,98.59,0.0,0
528,女,pct4,24.81,89.81,145.0,0.0,0
529,女,pct4,34.23,99.23,95.25,3.98,1
530,女,pct4,21.3,86.3,145.0,0.0,0
531,女,pct4,18.47,83.47,145.0,0.0,0
532,女,pct4,20.85,85.85,143.48,0.0,0
533,女,pct4,26.03,91.03,124.09,0.0,0
