工作年序,年龄,日历年,月入_港元,年入_港元,有关入息下限,有关入息上限,供款中断,雇员供款_港元,雇主供款_港元,自愿供款_港元,年总供款_港元,期初余额_港元,投资收益_港元,期末余额_港元,累计供款_港元,累计雇员_港元,累计雇主_港元,累计自愿_港元,累计投资收益_港元,回报率,性别,标签
13,37,2038,29228.1,350737.18,10500.0,40000.0,0,17536.86,17536.86,0.0,35073.72,408625.84,12258.78,455958.33,384197.65,192098.82,192098.82,0.0,71760.69,0.03,女,女/入职25/保守
14,38,2039,30104.94,361259.29,10500.0,40000.0,0,18062.96,18062.96,0.0,36125.93,455958.33,13678.75,505763.01,420323.57,210161.79,210161.79,0.0,85439.44,0.03,女,女/入职25/保守
15,39,2040,31008.09,372097.07,10500.0,40000.0,0,18604.85,18604.85,0.0,37209.71,505763.01,15172.89,558145.61,457533.28,228766.64,228766.64,0.0,100612.33,0.03,女,女/入职25/保守
16,40,2041,31938.33,383259.98,10500.0,40000.0,0,19163.0,19163.0,0.0,38326.0,558145.61,16744.37,613215.98,495859.28,247929.64,247929.64,0.0,117356.7,0.03,女,女/入职25/保守
17,41,2042,32896.48,394757.78,10500.0,40000.0,0,19737.89,19737.89,0.0,39475.78,613215.98,18396.48,671088.23,535335.06,267667.53,267667.53,0.0,135753.17,0.03,女,女/入职25/保守
18,42,2043,33883.38,406600.52,10500.0,40000.0,0,20330.03,20330.03,0.0,40660.05,671088.23,20132.65,731880.93,575995.11,287997.56,287997.56,0.0,155885.82,0.03,女,女/入职25/保守
19,43,2044,34899.88,418798.53,10500.0,40000.0,0,20939.93,20939.93,0.0,41879.85,731880.93,21956.43,795717.21,617874.96,308937.48,308937.48,0.0,177842.25,0.03,女,女/入职25/保守
20,44,2045,35946.87,431362.49,10500.0,40000.0,0,21568.12,21568.12,0.0,43136.25,795717.21,23871.52,862724.98,661011.21,330505.61,330505.61,0.0,201713.77,0.03,女,女/入职25/保守
21,45,2046,37025.28,444303.36,10500.0,40000.0,0,22215.17,22215.17,0.0,44430.34,862724.98,25881.75,933037.06,705441.55,352720.77,352720.77,0.0,227595.52,0.03,女,女/入职25/保守
22,46,2047,38136.04,457632.46,10500.0,40000.0,0,22881.62,22881.62,0.0,45763.25,933037.06,27991.11,1006791.42,751204.8,375602.4,375602.4,0.0,255586.63,0.03,女,女/入职25/保守
23,47,2048,39280.12,471361.44,10500.0,40000.0,0,23568.07,23568.07,0.0,47136.14,1006791.42,30203.74,1084131.31,798340.94,399170.47,399170.47,0.0,285790.37,0.03,女,女/入职25/保守
24,48,2049,40458.52,485502.28,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1084131.31,32523.94,1164655.25,846340.94,423170.47,423170.47,0.0,318314.31,0.03,女,女/入职25/保守
25,49,2050,41672.28,500067.35,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1164655.25,34939.66,1247594.91,894340.94,447170.47,447170.47,0.0,353253.97,0.03,女,女/入职25/保守
26,50,2051,42922.45,515069.37,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1247594.91,37427.85,1333022.75,942340.94,471170.47,471170.47,0.0,390681.81,0.03,女,女/入职25/保守
27,51,2052,44210.12,530521.45,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1333022.75,39990.68,1421013.44,990340.94,495170.47,495170.47,0.0,430672.5,0.03,女,女/入职25/保守
28,52,2053,45536.42,546437.1,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1421013.44,42630.4,1511643.84,1038340.94,519170.47,519170.47,0.0,473302.9,0.03,女,女/入职25/保守
29,53,2054,46902.52,562830.21,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1511643.84,45349.32,1604993.15,1086340.94,543170.47,543170.47,0.0,518652.21,0.03,女,女/入职25/保守
30,54,2055,48309.59,579715.11,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1604993.15,48149.79,1701142.95,1134340.94,567170.47,567170.47,0.0,566802.01,0.03,女,女/入职25/保守
31,55,2056,49758.88,597106.57,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1701142.95,51034.29,1800177.24,1182340.94,591170.47,591170.47,0.0,617836.3,0.03,女,女/入职25/保守
32,56,2057,51251.65,615019.76,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1800177.24,54005.32,1902182.55,1230340.94,615170.47,615170.47,0.0,671841.61,0.03,女,女/入职25/保守
33,57,2058,52789.2,633470.36,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1902182.55,57065.48,2007248.03,1278340.94,639170.47,639170.47,0.0,728907.09,0.03,女,女/入职25/保守
34,58,2059,54372.87,652474.47,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2007248.03,60217.44,2115465.47,1326340.94,663170.47,663170.47,0.0,789124.53,0.03,女,女/入职25/保守
35,59,2060,56004.06,672048.7,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2115465.47,63463.96,2226929.44,1374340.94,687170.47,687170.47,0.0,852588.5,0.03,女,女/入职25/保守
36,60,2061,57684.18,692210.16,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2226929.44,66807.88,2341737.32,1422340.94,711170.47,711170.47,0.0,919396.38,0.03,女,女/入职25/保守
37,61,2062,59414.71,712976.47,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2341737.32,70252.12,2459989.44,1470340.94,735170.47,735170.47,0.0,989648.5,0.03,女,女/入职25/保守
38,62,2063,61197.15,734365.76,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2459989.44,73799.68,2581789.12,1518340.94,759170.47,759170.47,0.0,1063448.18,0.03,女,女/入职25/保守
39,63,2064,63033.06,756396.74,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2581789.12,77453.67,2707242.79,1566340.94,783170.47,783170.47,0.0,1140901.86,0.03,女,女/入职25/保守
40,64,2065,64924.05,779088.64,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2707242.79,81217.28,2836460.08,1614340.94,807170.47,807170.47,0.0,1222119.14,0.03,女,女/入职25/保守
