工作年序,年龄,日历年,月入_港元,年入_港元,有关入息下限,有关入息上限,供款中断,雇员供款_港元,雇主供款_港元,自愿供款_港元,年总供款_港元,期初余额_港元,投资收益_港元,期末余额_港元,累计供款_港元,累计雇员_港元,累计雇主_港元,累计自愿_港元,累计投资收益_港元,回报率,性别,标签
13,37,2038,29228.1,350737.18,10500.0,40000.0,0,17536.86,17536.86,0.0,35073.72,452741.68,22184.34,509999.74,384197.65,192098.82,192098.82,0.0,125802.1,0.049,男,男/入职25/基准
14,38,2039,30104.94,361259.29,10500.0,40000.0,0,18062.96,18062.96,0.0,36125.93,509999.74,24989.99,571115.66,420323.57,210161.79,210161.79,0.0,150792.08,0.049,男,男/入职25/基准
15,39,2040,31008.09,372097.07,10500.0,40000.0,0,18604.85,18604.85,0.0,37209.71,571115.66,27984.67,636310.03,457533.28,228766.64,228766.64,0.0,178776.75,0.049,男,男/入职25/基准
16,40,2041,31938.33,383259.98,10500.0,40000.0,0,19163.0,19163.0,0.0,38326.0,636310.03,31179.19,705815.22,495859.28,247929.64,247929.64,0.0,209955.94,0.049,男,男/入职25/基准
17,41,2042,32896.48,394757.78,10500.0,40000.0,0,19737.89,19737.89,0.0,39475.78,705815.22,34584.95,779875.95,535335.06,267667.53,267667.53,0.0,244540.89,0.049,男,男/入职25/基准
18,42,2043,33883.38,406600.52,10500.0,40000.0,0,20330.03,20330.03,0.0,40660.05,779875.95,38213.92,858749.92,575995.11,287997.56,287997.56,0.0,282754.81,0.049,男,男/入职25/基准
19,43,2044,34899.88,418798.53,10500.0,40000.0,0,20939.93,20939.93,0.0,41879.85,858749.92,42078.75,942708.52,617874.96,308937.48,308937.48,0.0,324833.55,0.049,男,男/入职25/基准
20,44,2045,35946.87,431362.49,10500.0,40000.0,0,21568.12,21568.12,0.0,43136.25,942708.52,46192.72,1032037.48,661011.21,330505.61,330505.61,0.0,371026.27,0.049,男,男/入职25/基准
21,45,2046,37025.28,444303.36,10500.0,40000.0,0,22215.17,22215.17,0.0,44430.34,1032037.48,50569.84,1127037.66,705441.55,352720.77,352720.77,0.0,421596.11,0.049,男,男/入职25/基准
22,46,2047,38136.04,457632.46,10500.0,40000.0,0,22881.62,22881.62,0.0,45763.25,1127037.66,55224.85,1228025.75,751204.8,375602.4,375602.4,0.0,476820.95,0.049,男,男/入职25/基准
23,47,2048,39280.12,471361.44,10500.0,40000.0,0,23568.07,23568.07,0.0,47136.14,1228025.75,60173.26,1335335.15,798340.94,399170.47,399170.47,0.0,536994.22,0.049,男,男/入职25/基准
24,48,2049,40458.52,485502.28,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1335335.15,65431.42,1448766.58,846340.94,423170.47,423170.47,0.0,602425.64,0.049,男,男/入职25/基准
25,49,2050,41672.28,500067.35,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1448766.58,70989.56,1567756.14,894340.94,447170.47,447170.47,0.0,673415.2,0.049,男,男/入职25/基准
26,50,2051,42922.45,515069.37,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1567756.14,76820.05,1692576.19,942340.94,471170.47,471170.47,0.0,750235.25,0.049,男,男/入职25/基准
27,51,2052,44210.12,530521.45,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1692576.19,82936.23,1823512.42,990340.94,495170.47,495170.47,0.0,833171.48,0.049,男,男/入职25/基准
28,52,2053,45536.42,546437.1,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1823512.42,89352.11,1960864.53,1038340.94,519170.47,519170.47,0.0,922523.59,0.049,男,男/入职25/基准
29,53,2054,46902.52,562830.21,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1960864.53,96082.36,2104946.89,1086340.94,543170.47,543170.47,0.0,1018605.96,0.049,男,男/入职25/基准
30,54,2055,48309.59,579715.11,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2104946.89,103142.4,2256089.29,1134340.94,567170.47,567170.47,0.0,1121748.35,0.049,男,男/入职25/基准
31,55,2056,49758.88,597106.57,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2256089.29,110548.38,2414637.67,1182340.94,591170.47,591170.47,0.0,1232296.73,0.049,男,男/入职25/基准
32,56,2057,51251.65,615019.76,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2414637.67,118317.25,2580954.91,1230340.94,615170.47,615170.47,0.0,1350613.97,0.049,男,男/入职25/基准
33,57,2058,52789.2,633470.36,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2580954.91,126466.79,2755421.7,1278340.94,639170.47,639170.47,0.0,1477080.76,0.049,男,男/入职25/基准
34,58,2059,54372.87,652474.47,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2755421.7,135015.66,2938437.37,1326340.94,663170.47,663170.47,0.0,1612096.43,0.049,男,男/入职25/基准
35,59,2060,56004.06,672048.7,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2938437.37,143983.43,3130420.8,1374340.94,687170.47,687170.47,0.0,1756079.86,0.049,男,男/入职25/基准
36,60,2061,57684.18,692210.16,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,3130420.8,153390.62,3331811.42,1422340.94,711170.47,711170.47,0.0,1909470.48,0.049,男,男/入职25/基准
37,61,2062,59414.71,712976.47,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,3331811.42,163258.76,3543070.18,1470340.94,735170.47,735170.47,0.0,2072729.24,0.049,男,男/入职25/基准
38,62,2063,61197.15,734365.76,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,3543070.18,173610.44,3764680.62,1518340.94,759170.47,759170.47,0.0,2246339.68,0.049,男,男/入职25/基准
39,63,2064,63033.06,756396.74,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,3764680.62,184469.35,3997149.97,1566340.94,783170.47,783170.47,0.0,2430809.03,0.049,男,男/入职25/基准
40,64,2065,64924.05,779088.64,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,3997149.97,195860.35,4241010.31,1614340.94,807170.47,807170.47,0.0,2626669.37,0.049,男,男/入职25/基准
