年份,情景,基金类型,配置权重_中枢,年率化回报_小数,年率化回报_百分比,eMPF行政费率_现行,eMPF行政费率_旧值,若仍用旧费率0.37%的净回报_百分比,eMPF降费对净回报提升_bp,真实或假设,来源或假设
2026,高,股票基金,0.3,0.072,7.2,0.0029,0.0037,7.12,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,高,混合资产基金,0.35,0.069,6.9,0.0029,0.0037,6.82,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,高,DIS核心累积基金,0.25,0.094,9.4,0.0029,0.0037,9.32,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,高,保守基金,0.1,0.0213,2.13,0.0029,0.0037,2.05,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,高,制度加权(系统),1.0,0.07,7.0,0.0029,0.0037,6.92,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2027,低,股票基金,0.3,0.033971,3.397,0.0029,0.0037,3.317,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,低,混合资产基金,0.35,0.030971,3.097,0.0029,0.0037,3.017,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,低,DIS核心累积基金,0.25,0.055971,5.597,0.0029,0.0037,5.517,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,低,保守基金,0.1,0.009225,0.922,0.0029,0.0037,0.842,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,低,制度加权(系统),1.0,0.030911,3.091,0.0029,0.0037,3.011,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2027,中,股票基金,0.3,0.052971,5.297,0.0029,0.0037,5.217,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,中,混合资产基金,0.35,0.049971,4.997,0.0029,0.0037,4.917,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,中,DIS核心累积基金,0.25,0.074971,7.497,0.0029,0.0037,7.417,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,中,保守基金,0.1,0.014925,1.492,0.0029,0.0037,1.412,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,中,制度加权(系统),1.0,0.049911,4.991,0.0029,0.0037,4.911,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2027,高,股票基金,0.3,0.073971,7.397,0.0029,0.0037,7.317,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,高,混合资产基金,0.35,0.070971,7.097,0.0029,0.0037,7.017,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,高,DIS核心累积基金,0.25,0.095971,9.597,0.0029,0.0037,9.517,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,高,保守基金,0.1,0.021225,2.123,0.0029,0.0037,2.042,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2027,高,制度加权(系统),1.0,0.070911,7.091,0.0029,0.0037,7.011,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2028,低,股票基金,0.3,0.0347,3.47,0.0029,0.0037,3.39,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,低,混合资产基金,0.35,0.0317,3.17,0.0029,0.0037,3.09,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,低,DIS核心累积基金,0.25,0.0567,5.67,0.0029,0.0037,5.59,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,低,保守基金,0.1,0.00915,0.915,0.0029,0.0037,0.835,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,低,制度加权(系统),1.0,0.0312,3.12,0.0029,0.0037,3.04,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2028,中,股票基金,0.3,0.0537,5.37,0.0029,0.0037,5.29,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,中,混合资产基金,0.35,0.0507,5.07,0.0029,0.0037,4.99,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,中,DIS核心累积基金,0.25,0.0757,7.57,0.0029,0.0037,7.49,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,中,保守基金,0.1,0.01485,1.485,0.0029,0.0037,1.405,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,中,制度加权(系统),1.0,0.0502,5.02,0.0029,0.0037,4.94,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2028,高,股票基金,0.3,0.0747,7.47,0.0029,0.0037,7.39,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,高,混合资产基金,0.35,0.0717,7.17,0.0029,0.0037,7.09,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,高,DIS核心累积基金,0.25,0.0967,9.67,0.0029,0.0037,9.59,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,高,保守基金,0.1,0.02115,2.115,0.0029,0.0037,2.035,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2028,高,制度加权(系统),1.0,0.0712,7.12,0.0029,0.0037,7.04,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2029,低,股票基金,0.3,0.033671,3.367,0.0029,0.0037,3.287,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,低,混合资产基金,0.35,0.030671,3.067,0.0029,0.0037,2.987,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,低,DIS核心累积基金,0.25,0.055671,5.567,0.0029,0.0037,5.487,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,低,保守基金,0.1,0.009075,0.907,0.0029,0.0037,0.827,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,低,制度加权(系统),1.0,0.030611,3.061,0.0029,0.0037,2.981,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2029,中,股票基金,0.3,0.052671,5.267,0.0029,0.0037,5.187,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,中,混合资产基金,0.35,0.049671,4.967,0.0029,0.0037,4.887,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,中,DIS核心累积基金,0.25,0.074671,7.467,0.0029,0.0037,7.387,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,中,保守基金,0.1,0.014775,1.478,0.0029,0.0037,1.397,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,中,制度加权(系统),1.0,0.049611,4.961,0.0029,0.0037,4.881,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2029,高,股票基金,0.3,0.073671,7.367,0.0029,0.0037,7.287,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,高,混合资产基金,0.35,0.070671,7.067,0.0029,0.0037,6.987,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,高,DIS核心累积基金,0.25,0.095671,9.567,0.0029,0.0037,9.487,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,高,保守基金,0.1,0.021075,2.107,0.0029,0.0037,2.028,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2029,高,制度加权(系统),1.0,0.070611,7.061,0.0029,0.0037,6.981,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2030,低,股票基金,0.3,0.0314,3.14,0.0029,0.0037,3.06,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,低,混合资产基金,0.35,0.0284,2.84,0.0029,0.0037,2.76,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,低,DIS核心累积基金,0.25,0.0534,5.34,0.0029,0.0037,5.26,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,低,保守基金,0.1,0.009,0.9,0.0029,0.0037,0.82,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,低,制度加权(系统),1.0,0.0294,2.94,0.0029,0.0037,2.86,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2030,中,股票基金,0.3,0.0504,5.04,0.0029,0.0037,4.96,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,中,混合资产基金,0.35,0.0474,4.74,0.0029,0.0037,4.66,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,中,DIS核心累积基金,0.25,0.0724,7.24,0.0029,0.0037,7.16,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,中,保守基金,0.1,0.0147,1.47,0.0029,0.0037,1.39,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,中,制度加权(系统),1.0,0.0484,4.84,0.0029,0.0037,4.76,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2030,高,股票基金,0.3,0.0714,7.14,0.0029,0.0037,7.06,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,高,混合资产基金,0.35,0.0684,6.84,0.0029,0.0037,6.76,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,高,DIS核心累积基金,0.25,0.0934,9.34,0.0029,0.0037,9.26,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,高,保守基金,0.1,0.021,2.1,0.0029,0.0037,2.02,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2030,高,制度加权(系统),1.0,0.0694,6.94,0.0029,0.0037,6.86,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2031,低,股票基金,0.3,0.029129,2.913,0.0029,0.0037,2.833,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,低,混合资产基金,0.35,0.026129,2.613,0.0029,0.0037,2.533,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,低,DIS核心累积基金,0.25,0.051129,5.113,0.0029,0.0037,5.033,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,低,保守基金,0.1,0.008925,0.892,0.0029,0.0037,0.812,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,低,制度加权(系统),1.0,0.028189,2.819,0.0029,0.0037,2.739,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2031,中,股票基金,0.3,0.048129,4.813,0.0029,0.0037,4.733,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,中,混合资产基金,0.35,0.045129,4.513,0.0029,0.0037,4.433,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,中,DIS核心累积基金,0.25,0.070129,7.013,0.0029,0.0037,6.933,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,中,保守基金,0.1,0.014625,1.462,0.0029,0.0037,1.382,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,中,制度加权(系统),1.0,0.047189,4.719,0.0029,0.0037,4.639,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2031,高,股票基金,0.3,0.069129,6.913,0.0029,0.0037,6.833,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,高,混合资产基金,0.35,0.066129,6.613,0.0029,0.0037,6.533,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,高,DIS核心累积基金,0.25,0.091129,9.113,0.0029,0.0037,9.033,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,高,保守基金,0.1,0.020925,2.092,0.0029,0.0037,2.012,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2031,高,制度加权(系统),1.0,0.068189,6.819,0.0029,0.0037,6.739,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2032,低,股票基金,0.3,0.0281,2.81,0.0029,0.0037,2.73,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2032,低,混合资产基金,0.35,0.0251,2.51,0.0029,0.0037,2.43,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2032,低,DIS核心累积基金,0.25,0.0501,5.01,0.0029,0.0037,4.93,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
