年份,情景,上下限制度,是否模型默认,有关入息下限_港元每月,有关入息上限_港元每月,上下限生效说明,雇员强制费率,雇主强制费率,强积金覆盖率,劳动年龄人口_万人,劳动参与率,就业率,缴费人数_万人,平均有关入息_港元每月,年强制性供款_亿港元,自愿性供款占比,年自愿性供款_亿港元,年总供款_亿港元,取消对冲生效日,取消对冲处理,校准锚点说明,真实或假设,来源或假设
2031,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,443.9694,0.5525,0.97,218.996,20425.5,536.77,0.26,188.6,725.37,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2032,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,440.7369,0.551,0.97,216.8113,24775.6,644.59,0.26,226.48,871.07,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2032,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,440.7369,0.551,0.97,216.8113,20834.0,542.05,0.26,190.45,732.49,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2033,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,437.6587,0.5495,0.97,214.7109,25271.1,651.12,0.26,228.77,879.89,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2033,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,437.6587,0.5495,0.97,214.7109,21250.7,547.53,0.26,192.38,739.91,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2034,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,434.7327,0.548,0.97,212.6933,25776.5,657.9,0.26,231.15,889.05,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2034,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,434.7327,0.548,0.97,212.6933,21675.7,553.23,0.26,194.38,747.61,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2035,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,431.957,0.5465,0.97,210.7568,26292.0,664.95,0.26,233.63,898.58,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2035,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,431.957,0.5465,0.97,210.7568,22109.2,559.16,0.26,196.46,755.62,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2036,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,429.3295,0.545,0.97,208.8998,26817.9,672.27,0.26,236.2,908.47,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2036,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,429.3295,0.545,0.97,208.8998,22551.4,565.32,0.26,198.63,763.94,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2037,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,425.0662,0.5435,0.97,206.2562,27354.2,677.04,0.26,237.88,914.92,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2037,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,425.0662,0.5435,0.97,206.2562,23002.4,569.33,0.26,200.03,769.36,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2038,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,420.6478,0.542,0.97,203.5489,27901.3,681.51,0.26,239.45,920.96,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2038,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,420.6478,0.542,0.97,203.5489,23462.5,573.09,0.26,201.36,774.45,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2039,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,416.0752,0.5405,0.97,200.7791,28459.3,685.68,0.26,240.92,926.6,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2039,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,416.0752,0.5405,0.97,200.7791,23931.7,576.6,0.26,202.59,779.19,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2040,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,411.3496,0.539,0.97,197.9478,29028.5,689.54,0.26,242.27,931.81,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2040,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,411.3496,0.539,0.97,197.9478,24410.4,579.84,0.26,203.73,783.56,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2041,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,406.4719,0.5375,0.97,195.0562,29609.1,693.05,0.26,243.51,936.56,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2041,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,406.4719,0.5375,0.97,195.0562,24898.6,582.79,0.26,204.77,787.56,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2042,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,401.743,0.536,0.97,192.249,30201.3,696.74,0.26,244.8,941.54,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2042,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,401.743,0.536,0.97,192.249,25396.5,585.89,0.26,205.85,791.75,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2043,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,396.7996,0.5345,0.97,189.352,30805.3,699.97,0.26,245.93,945.9,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2043,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,396.7996,0.5345,0.97,189.352,25904.5,588.61,0.26,206.81,795.42,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2044,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,391.6418,0.533,0.97,186.3662,31421.4,702.71,0.26,246.9,949.6,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2044,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,391.6418,0.533,0.97,186.3662,26422.6,590.91,0.26,207.62,798.53,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2045,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,386.2697,0.5315,0.97,183.2925,32049.8,704.94,0.26,247.68,952.62,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2045,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,386.2697,0.5315,0.97,183.2925,26951.0,592.79,0.26,208.28,801.07,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2046,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,380.6833,0.53,0.97,180.1319,32690.8,706.64,0.26,248.28,954.92,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
