年份,性别,年龄组,死亡率_每千人,年化改善率,数据类型,真实或假设,来源或假设
2020,男,80-84,52.2,0.00528,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,85+,110.1,0.00528,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,0-4,0.34,0.025,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,10-14,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,15-19,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,20-24,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,25-29,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,30-34,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,35-39,0.3,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,40-44,0.6,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,45-49,1.1,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,5-9,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,50-54,1.7,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,55-59,2.5,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,60-64,3.6,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,65-69,5.4,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,70-74,8.4,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,75-79,16.5,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,80-84,33.4,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,女,85+,85.4,0.006816,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,0-4,0.36,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,10-14,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,15-19,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,20-24,0.4,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,25-29,0.4,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,30-34,0.5,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,35-39,0.7,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,40-44,1.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,45-49,2.0,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,5-9,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,50-54,3.1,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,55-59,4.9,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,60-64,7.2,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,65-69,11.8,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,70-74,18.5,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,75-79,32.9,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,80-84,51.9,0.00528,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2021,男,85+,109.0,0.00528,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,0-4,0.44,0.025,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,10-14,0.1,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,15-19,0.2,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,20-24,0.2,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,25-29,0.2,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,30-34,0.3,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,35-39,0.4,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,40-44,0.6,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,45-49,1.1,0.011375,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,5-9,0.1,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,50-54,1.8,0.011375,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,55-59,2.8,0.011375,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,60-64,3.9,0.007625,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,65-69,5.8,0.007625,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,70-74,9.4,0.007625,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,75-79,18.6,0.007625,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,80-84,38.7,0.007625,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,女,85+,109.0,0.006816,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,0-4,0.46,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,10-14,0.1,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,15-19,0.3,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,20-24,0.4,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,25-29,0.4,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,30-34,0.6,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,35-39,0.8,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,40-44,1.4,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,45-49,2.1,0.011375,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,5-9,0.1,0.0125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,50-54,3.6,0.010125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,55-59,5.4,0.010125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,60-64,8.4,0.010125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,65-69,13.0,0.010125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,70-74,21.8,0.010125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,75-79,38.4,0.010125,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,80-84,67.7,0.00528,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2022,男,85+,143.5,0.00528,实际_疫情年,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,0-4,0.42,0.025,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,10-14,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,15-19,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,20-24,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,25-29,0.3,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,30-34,0.3,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,35-39,0.4,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,40-44,0.6,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,45-49,1.0,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,5-9,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,50-54,1.6,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,55-59,2.5,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,60-64,3.5,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,65-69,5.2,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,70-74,8.6,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,75-79,15.6,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,80-84,31.7,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,女,85+,88.9,0.006816,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,0-4,0.42,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,10-14,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,15-19,0.3,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,20-24,0.4,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,25-29,0.5,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,30-34,0.6,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,35-39,0.8,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,40-44,1.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,45-49,2.2,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,5-9,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,50-54,3.3,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,55-59,4.8,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,60-64,7.4,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,65-69,11.3,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,70-74,17.7,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,75-79,30.8,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,80-84,54.1,0.00528,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2023,男,85+,109.5,0.00528,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,0-4,0.3,0.025,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,10-14,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,15-19,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,20-24,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,25-29,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,30-34,0.3,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,35-39,0.4,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,40-44,0.5,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,45-49,1.0,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,5-9,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,50-54,1.6,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,55-59,2.4,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,60-64,3.6,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,65-69,5.0,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,70-74,8.4,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,75-79,13.7,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,80-84,29.4,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,女,85+,81.4,0.006816,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,0-4,0.6,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,10-14,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,15-19,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,20-24,0.3,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,25-29,0.4,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,30-34,0.6,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,35-39,0.7,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,40-44,1.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,45-49,2.0,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,5-9,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,50-54,3.2,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,55-59,4.8,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,60-64,6.9,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,65-69,11.1,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,70-74,17.3,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,75-79,26.6,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,80-84,51.1,0.00528,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2024,男,85+,96.9,0.00528,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,0-4,0.52,0.025,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,10-14,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,15-19,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,20-24,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,25-29,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,30-34,0.3,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,35-39,0.3,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,40-44,0.6,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,45-49,1.0,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,5-9,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,50-54,1.5,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,55-59,2.2,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,60-64,3.3,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,65-69,4.8,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,70-74,7.8,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,75-79,12.4,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,80-84,26.1,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,女,85+,76.1,0.006816,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2025,男,0-4,0.46,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
