年份,情景,提取理由,提取人数或宗数_万,占该类金额比例,人均或单笔金额_港元,年提取金额_亿港元,真实或假设,来源或假设
2029,低,提早退休,,0.2,,4.01,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2029,低,死亡,,0.15,,3.0,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2029,低,小额结余,,0.12,,2.4,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2029,低,丧失行为能力/绝密等,,0.08,,1.6,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2029,低,合计_总提取,10.721,1.0,136999.0,166.9,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2030,低,退休_一笔过,9.9442,0.947,140424.0,139.64,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2030,低,退休_分期或其他形式,0.5565,0.053,140424.0,7.82,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2030,低,永久离港,,0.45,,9.05,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2030,低,提早退休,,0.2,,4.02,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2030,低,死亡,,0.15,,3.02,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2030,低,小额结余,,0.12,,2.41,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2030,低,丧失行为能力/绝密等,,0.08,,1.61,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2030,低,合计_总提取,10.5008,1.0,140424.0,167.56,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2031,低,退休_一笔过,9.7432,0.947,143935.0,140.24,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2031,低,退休_分期或其他形式,0.5453,0.053,143935.0,7.85,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2031,低,永久离港,,0.45,,9.09,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2031,低,提早退休,,0.2,,4.04,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2031,低,死亡,,0.15,,3.03,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2031,低,小额结余,,0.12,,2.42,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2031,低,丧失行为能力/绝密等,,0.08,,1.62,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2031,低,合计_总提取,10.2884,1.0,143935.0,168.28,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2032,低,退休_一笔过,9.7405,0.947,147533.0,143.7,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2032,低,退休_分期或其他形式,0.5451,0.053,147533.0,8.04,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2032,低,永久离港,,0.45,,9.31,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2032,低,提早退休,,0.2,,4.14,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2032,低,死亡,,0.15,,3.1,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2032,低,小额结余,,0.12,,2.48,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2032,低,丧失行为能力/绝密等,,0.08,,1.66,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2032,低,合计_总提取,10.2857,1.0,147533.0,172.44,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2033,低,退休_一笔过,9.7422,0.947,151221.0,147.32,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2033,低,退休_分期或其他形式,0.5452,0.053,151221.0,8.25,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2033,低,永久离港,,0.45,,9.55,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2033,低,提早退休,,0.2,,4.24,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2033,低,死亡,,0.15,,3.18,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2033,低,小额结余,,0.12,,2.55,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2033,低,丧失行为能力/绝密等,,0.08,,1.7,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2033,低,合计_总提取,10.2874,1.0,151221.0,176.78,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2034,低,退休_一笔过,9.7481,0.947,155002.0,151.1,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2034,低,退休_分期或其他形式,0.5456,0.053,155002.0,8.46,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2034,低,永久离港,,0.45,,9.79,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2034,低,提早退休,,0.2,,4.35,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2034,低,死亡,,0.15,,3.26,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2034,低,小额结余,,0.12,,2.61,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2034,低,丧失行为能力/绝密等,,0.08,,1.74,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2034,低,合计_总提取,10.2937,1.0,155002.0,181.31,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2035,低,退休_一笔过,9.7583,0.947,158877.0,155.04,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2035,低,退休_分期或其他形式,0.5461,0.053,158877.0,8.68,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2035,低,永久离港,,0.45,,10.05,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2035,低,提早退休,,0.2,,4.46,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2035,低,死亡,,0.15,,3.35,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2035,低,小额结余,,0.12,,2.68,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2035,低,丧失行为能力/绝密等,,0.08,,1.79,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2035,低,合计_总提取,10.3044,1.0,158877.0,186.04,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2036,低,退休_一笔过,9.7726,0.947,162849.0,159.15,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2036,低,退休_分期或其他形式,0.5469,0.053,162849.0,8.91,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2036,低,永久离港,,0.45,,10.31,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2036,低,提早退休,,0.2,,4.58,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2036,低,死亡,,0.15,,3.44,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2036,低,小额结余,,0.12,,2.75,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2036,低,丧失行为能力/绝密等,,0.08,,1.83,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2036,低,合计_总提取,10.3196,1.0,162849.0,190.97,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2037,低,退休_一笔过,9.7128,0.947,166920.0,162.13,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2037,低,退休_分期或其他形式,0.5436,0.053,166920.0,9.07,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2037,低,永久离港,,0.45,,10.51,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2037,低,提早退休,,0.2,,4.67,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2037,低,死亡,,0.15,,3.5,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2037,低,小额结余,,0.12,,2.8,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2037,低,丧失行为能力/绝密等,,0.08,,1.87,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2037,低,合计_总提取,10.2564,1.0,166920.0,194.54,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2038,低,退休_一笔过,9.6532,0.947,171093.0,165.16,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2038,低,退休_分期或其他形式,0.5403,0.053,171093.0,9.24,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2038,低,永久离港,,0.45,,10.7,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2038,低,提早退休,,0.2,,4.76,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2038,低,死亡,,0.15,,3.57,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2038,低,小额结余,,0.12,,2.85,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2038,低,丧失行为能力/绝密等,,0.08,,1.9,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2038,低,合计_总提取,10.1935,1.0,171093.0,198.19,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2039,低,退休_一笔过,9.5939,0.947,175370.0,168.25,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2039,低,退休_分期或其他形式,0.5369,0.053,175370.0,9.42,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2039,低,永久离港,,0.45,,10.9,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2039,低,提早退休,,0.2,,4.85,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2039,低,死亡,,0.15,,3.63,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2039,低,小额结余,,0.12,,2.91,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2039,低,丧失行为能力/绝密等,,0.08,,1.94,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2039,低,合计_总提取,10.1309,1.0,175370.0,201.89,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2040,低,退休_一笔过,9.5349,0.947,179755.0,171.39,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2040,低,退休_分期或其他形式,0.5336,0.053,179755.0,9.59,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2040,低,永久离港,,0.45,,11.11,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2040,低,提早退休,,0.2,,4.94,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2040,低,死亡,,0.15,,3.7,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2040,低,小额结余,,0.12,,2.96,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2040,低,丧失行为能力/绝密等,,0.08,,1.97,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2040,低,合计_总提取,10.0685,1.0,179755.0,205.67,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2041,低,退休_一笔过,9.476,0.947,184248.0,174.59,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2041,低,退休_分期或其他形式,0.5303,0.053,184248.0,9.77,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2041,低,永久离港,,0.45,,11.31,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2041,低,提早退休,,0.2,,5.03,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2041,低,死亡,,0.15,,3.77,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2041,低,小额结余,,0.12,,3.02,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2041,低,丧失行为能力/绝密等,,0.08,,2.01,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2041,低,合计_总提取,10.0064,1.0,184248.0,209.51,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2042,低,退休_一笔过,9.4813,0.947,188855.0,179.06,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2042,低,退休_分期或其他形式,0.5306,0.053,188855.0,10.02,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2042,低,永久离港,,0.45,,11.6,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2042,低,提早退休,,0.2,,5.16,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2042,低,死亡,,0.15,,3.87,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2042,低,小额结余,,0.12,,3.09,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2042,低,丧失行为能力/绝密等,,0.08,,2.06,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2042,低,合计_总提取,10.0119,1.0,188855.0,214.86,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2043,低,退休_一笔过,9.4903,0.947,193576.0,183.71,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2043,低,退休_分期或其他形式,0.5311,0.053,193576.0,10.28,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2043,低,永久离港,,0.45,,11.9,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2043,低,提早退休,,0.2,,5.29,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2043,低,死亡,,0.15,,3.97,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2043,低,小额结余,,0.12,,3.17,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2043,低,丧失行为能力/绝密等,,0.08,,2.12,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2043,低,合计_总提取,10.0214,1.0,193576.0,220.44,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2044,低,退休_一笔过,9.5032,0.947,198415.0,188.56,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2044,低,退休_分期或其他形式,0.5319,0.053,198415.0,10.55,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2044,低,永久离港,,0.45,,12.22,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2044,低,提早退休,,0.2,,5.43,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2044,低,死亡,,0.15,,4.07,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2044,低,小额结余,,0.12,,3.26,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2044,低,丧失行为能力/绝密等,,0.08,,2.17,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2044,低,合计_总提取,10.0351,1.0,198415.0,226.26,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2045,低,退休_一笔过,9.5202,0.947,203376.0,193.62,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2045,低,退休_分期或其他形式,0.5328,0.053,203376.0,10.84,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2045,低,永久离港,,0.45,,12.55,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2045,低,提早退休,,0.2,,5.58,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2045,低,死亡,,0.15,,4.18,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2045,低,小额结余,,0.12,,3.35,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
