年份,情景,性别,总人口,少儿0_14,劳动人口15_64,准退休55_59,退休65及以上,老龄化率_65plus占比,来源或假设
2028,低,男,3411313.6,330520.6,2159405.9,243781.0,921387.1,0.2701,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2028,高,女,3809012.5,315334.2,2418537.4,314664.1,1075140.9,0.2823,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2028,高,男,3443201.1,339188.1,2180214.8,245315.6,923798.2,0.2683,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2029,中,女,3814358.6,301244.0,2390851.7,313854.0,1122262.9,0.2942,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2029,中,男,3441287.8,323515.4,2163832.7,245584.9,953939.7,0.2772,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2029,低,女,3784485.9,294583.2,2370176.2,312322.6,1119726.5,0.2959,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2029,低,男,3413079.8,316693.1,2144760.9,244174.2,951625.8,0.2788,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2029,高,女,3835889.3,307300.4,2404635.2,314874.9,1123953.7,0.293,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2029,高,男,3461804.8,329775.4,2176547.3,246525.3,955482.1,0.276,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2030,中,女,3834053.1,290977.6,2373319.6,313845.8,1169755.9,0.3051,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2030,中,男,3452803.1,311795.7,2157013.6,246620.6,983993.8,0.285,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2030,低,女,3793431.1,282038.0,2345250.1,311759.2,1166143.0,0.3074,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2030,低,男,3414479.5,302634.8,2131129.8,244700.2,980714.9,0.2872,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2030,高,女,3863296.3,299099.0,2392032.8,315236.9,1172164.5,0.3034,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2030,高,男,3480642.0,320193.0,2174269.5,247900.9,986179.5,0.2833,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2031,中,女,3854083.9,280517.2,2356907.8,313973.1,1216658.9,0.3157,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2031,中,男,3464435.4,299878.0,2151416.5,247807.6,1013140.9,0.2924,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2031,低,女,3802312.7,269265.2,2321197.5,311308.7,1211850.0,0.3187,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2031,低,男,3415635.8,288341.3,2118496.7,245357.5,1008797.8,0.2953,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2031,高,女,3891309.7,290730.2,2380714.7,315749.4,1219864.8,0.3135,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2031,高,男,3499840.7,310441.6,2173362.8,249441.0,1016036.3,0.2903,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2032,中,女,3874518.7,274397.9,2341888.4,311856.5,1258232.4,0.3247,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2032,中,男,3476296.3,292758.4,2149253.1,247181.4,1034284.8,0.2975,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2032,低,女,3811197.2,260798.1,2298293.4,308591.8,1252105.7,0.3285,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2032,低,男,3416658.5,278806.3,2109076.1,244181.6,1028776.1,0.3011,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2032,高,女,3920000.2,286732.0,2370951.6,314033.0,1262316.6,0.322,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2032,高,男,3519515.5,305520.4,2176037.8,249181.3,1037957.3,0.2949,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2033,中,女,3894504.7,268204.3,2327867.4,309867.7,1298433.0,0.3334,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2033,中,男,3487703.5,285569.6,2148094.6,246698.5,1054039.3,0.3022,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2033,低,女,3819216.2,252205.8,2276146.0,305980.0,1290864.4,0.338,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2033,低,男,3416848.4,269145.3,2100441.0,243128.9,1047262.1,0.3065,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2033,高,女,3948530.5,282703.4,2362348.3,312459.4,1303478.8,0.3301,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2033,高,男,3538999.7,300578.7,2179863.5,249078.3,1058557.5,0.2991,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2034,中,女,3914200.1,261936.5,2314832.5,308005.7,1337431.1,0.3417,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2034,中,男,3498854.2,278312.6,2147927.6,246357.9,1072614.0,0.3066,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2034,低,女,3826526.1,243486.2,2254746.3,303472.5,1328293.6,0.3471,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2034,低,男,3416401.2,259356.9,2092580.9,242198.2,1064463.4,0.3116,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2034,高,女,3977060.4,278647.5,2354890.1,311027.9,1343522.8,0.3378,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2034,高,男,3558493.0,295619.9,2184825.4,249131.0,1078047.7,0.303,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2035,中,女,3933748.7,255595.1,2302772.1,306270.1,1375381.5,0.3496,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2035,中,男,3509924.2,270988.8,2148739.4,246158.4,1090196.0,0.3106,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2035,低,女,3833268.1,234637.8,2234084.6,301068.5,1364545.7,0.356,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2035,低,男,3415490.5,249439.8,2085485.3,241388.3,1080565.4,0.3164,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2035,高,女,4005735.5,274566.3,2348563.6,309737.8,1382605.6,0.3452,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2035,高,男,3578173.2,290648.2,2190908.7,249338.4,1096616.3,0.3065,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2036,中,女,3953280.0,249180.6,2291673.5,304660.0,1412425.9,0.3573,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2036,中,男,3521069.0,263599.4,2150517.0,246099.1,1106952.6,0.3144,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2036,低,女,3839569.8,225658.5,2214151.5,298767.4,1399759.8,0.3646,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2036,低,男,3414270.6,239393.0,2079143.7,240698.4,1095733.9,0.3209,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2036,高,女,4034687.6,270463.1,2343354.4,308588.3,1420870.1,0.3522,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2036,高,男,3598198.0,285667.3,2198099.2,249699.6,1114431.5,0.3097,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2037,中,女,3970317.1,250277.6,2272857.0,303674.1,1447182.5,0.3645,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2037,中,男,3530032.3,264169.8,2142845.0,249147.6,1123017.5,0.3181,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2037,低,女,3843731.6,224188.6,2186919.7,297115.5,1432623.3,0.3727,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2037,低,男,3411200.8,237291.6,2063742.5,243139.8,1110166.7,0.3254,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2037,高,女,4060923.4,273886.3,2330148.4,308046.5,1456888.7,0.3588,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2037,高,男,3615834.1,288669.4,2195580.1,253152.8,1131584.6,0.313,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2038,中,女,3984469.9,251298.1,2252793.1,302836.1,1480378.7,0.3715,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2038,中,男,3536559.0,264702.1,2134067.7,252327.4,1137789.2,0.3217,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2038,低,女,3845346.1,222621.8,2158855.7,295578.4,1463868.6,0.3807,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2038,低,男,3406008.4,235119.6,2047622.3,245683.1,1123266.5,0.3298,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2038,高,女,4084068.4,277265.3,2315417.7,307674.6,1491385.4,0.3652,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2038,高,男,3630844.2,291675.1,2191698.1,256756.9,1147471.0,0.316,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2039,中,女,3995878.3,252230.7,2231489.7,302154.5,1512157.9,0.3784,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2039,中,男,3540803.6,265183.4,2124193.5,255646.2,1151426.7,0.3252,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2039,低,女,3844559.5,220950.9,2129964.2,294161.9,1493644.4,0.3885,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2039,低,男,3398853.7,232868.5,2030788.2,248333.7,1135197.0,0.334,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2039,高,女,4104258.2,280584.6,2299173.2,307482.9,1524500.4,0.3714,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2039,高,男,3643377.4,294667.5,2186463.5,260521.2,1162246.4,0.319,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2040,中,女,4004668.7,253062.7,2208956.0,301638.0,1542650.0,0.3852,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2040,中,男,3542899.6,265599.6,2113230.1,259111.9,1164069.9,0.3286,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2040,低,女,3841504.5,219167.5,2100251.6,292872.0,1522085.4,0.3962,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2040,低,男,3389876.0,230528.6,2013244.7,251096.7,1146102.7,0.3381,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2040,高,女,4121613.5,283828.2,2281425.7,307482.1,1556359.6,0.3776,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2040,高,男,3653563.1,297627.9,2179887.0,264455.3,1176048.2,0.3219,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2041,中,女,4010952.6,253781.2,2185200.7,301295.2,1571970.7,0.3919,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2041,中,男,3542964.5,265935.8,2101185.6,262732.1,1175843.1,0.3319,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2041,低,女,3836298.0,217262.8,2069722.6,291714.4,1549312.6,0.4039,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2041,低,男,3379198.1,228090.2,1994996.3,253977.5,1156111.6,0.3421,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2041,高,女,4136240.6,286978.2,2262186.2,307682.5,1587076.2,0.3837,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2041,高,男,3661512.8,300536.7,2171978.6,268568.5,1188997.5,0.3247,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2042,中,女,4014829.5,253654.4,2164524.9,298582.1,1596650.2,0.3977,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2042,中,男,3541099.2,265831.1,2090076.7,264504.3,1185191.4,0.3347,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2042,低,女,3829046.1,216114.1,2041071.4,288142.4,1571860.6,0.4105,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2042,低,男,3366927.6,226895.2,1976359.0,254971.1,1163673.4,0.3456,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2042,高,女,4148233.2,287695.0,2247361.6,305541.9,1613176.6,0.3889,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2042,高,男,3667321.3,301330.5,2166454.2,270859.8,1199536.6,0.3271,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2043,中,女,4015932.5,253690.2,2142331.2,295852.1,1619911.1,0.4034,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2043,中,男,3537165.4,265913.9,2077573.6,266271.2,1193677.9,0.3375,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2043,低,女,3819385.7,215126.0,2011302.7,284564.1,1592957.0,0.4171,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2043,低,男,3352930.2,225881.0,1956693.8,255969.3,1170355.4,0.3491,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2043,高,女,4157221.9,288586.1,2230755.2,303377.4,1637880.6,0.394,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2043,高,男,3670848.4,302327.7,2159294.6,273139.0,1209226.1,0.3294,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2044,中,女,4014374.9,253868.4,2118625.2,293105.1,1641881.3,0.409,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2044,中,男,3531261.0,266161.4,2063682.7,268032.7,1201416.9,0.3402,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2044,低,女,3807439.6,214288.1,1980416.9,280979.2,1612734.6,0.4236,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2044,低,男,3337312.8,225035.3,1936000.9,256972.1,1176276.6,0.3525,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2044,高,女,4163312.2,289623.0,2212376.9,301189.1,1661312.3,0.399,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2044,高,男,3672183.0,303495.7,2150510.1,275406.4,1218177.2,0.3317,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2045,中,女,4010256.5,254167.9,2093413.5,290341.0,1662675.1,0.4146,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2045,中,男,3523467.1,266549.2,2048409.7,269788.9,1208508.2,0.343,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2045,低,女,3793318.3,213589.2,1948415.3,277387.7,1631313.8,0.43,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2045,低,男,3320168.4,224345.3,1914281.2,257979.2,1181541.9,0.3559,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2045,高,女,4166594.0,290774.6,2192236.9,298976.6,1683582.5,0.4041,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2045,高,男,3671397.3,304799.6,2140111.8,277662.0,1226485.9,0.3341,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2046,中,女,4003663.6,254565.8,2066702.5,287559.6,1682395.3,0.4202,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2046,中,男,3513851.1,267051.4,2031761.2,271539.7,1215038.5,0.3458,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2046,低,女,3777117.7,213017.3,1915298.4,273789.1,1648802.0,0.4365,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2046,低,男,3301573.9,223796.7,1891534.8,258990.5,1186242.4,0.3593,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2046,高,女,4167145.0,292008.4,2170345.7,296740.0,1704790.9,0.4091,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2046,高,男,3668548.9,306202.8,2128110.1,279905.8,1234236.0,0.3364,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2047,中,女,3994670.7,255037.7,2041397.9,285442.4,1698235.1,0.4251,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2047,中,男,3502467.5,267640.6,2012409.6,271703.7,1222417.3,0.349,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2047,低,女,3758923.8,212559.0,1883967.1,270865.1,1662397.7,0.4423,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2047,低,男,3281596.3,223374.8,1866428.9,258424.5,1191792.6,0.3632,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2047,高,女,4165031.0,293289.8,2149614.3,295160.7,1722126.9,0.4135,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2047,高,男,3663682.4,307666.7,2113181.9,280556.5,1242833.8,0.3392,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2048,中,女,3983774.7,255243.5,2015193.7,283336.0,1713337.5,0.4301,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2048,中,男,3490038.1,267946.5,1992270.1,271879.0,1229821.5,0.3524,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2048,低,女,3739028.4,211905.9,1851952.5,267953.0,1675170.0,0.448,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2048,低,男,3260772.4,222745.1,1840723.9,257870.7,1197303.4,0.3672,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2048,高,女,4160877.3,294246.0,2127848.8,293591.4,1738782.5,0.4179,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2048,高,男,3657635.4,308784.5,2097350.6,281217.9,1251500.3,0.3422,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2049,中,女,3971050.4,255166.7,1988083.8,281221.3,1727799.9,0.4351,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2049,中,男,3476578.7,267950.7,1971338.2,272048.2,1237289.8,0.3559,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2049,低,女,3717516.5,211049.3,1819248.2,265039.4,1687219.0,0.4539,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2049,低,男,3239128.3,221898.4,1814414.5,257316.8,1202815.4,0.3713,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2049,高,女,4154752.5,294853.6,2105045.2,292009.3,1754853.7,0.4224,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2049,高,男,3650416.3,309530.4,2080613.1,281869.1,1260272.8,0.3452,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2050,中,女,3956565.1,254791.6,1960062.9,279079.3,1741710.6,0.4402,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2050,中,男,3462100.9,267635.6,1949608.7,272193.8,1244856.6,0.3596,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2050,低,女,3694463.4,209980.6,1785847.6,262110.8,1698635.2,0.4598,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2050,低,男,3216683.0,220824.6,1787493.9,256750.5,1208364.5,0.3757,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2050,高,女,4146716.3,295090.1,2081198.6,290391.6,1770427.6,0.4269,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2050,高,男,3642030.3,309879.0,2062966.8,282489.3,1269184.5,0.3485,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2051,中,女,3940377.3,254102.6,1931124.8,276890.7,1755149.9,0.4454,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2051,中,男,3446612.8,266983.5,1927077.8,272298.5,1252551.5,0.3634,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2051,低,女,3669937.0,208692.2,1751744.2,259153.8,1709500.6,0.4658,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2051,低,男,3193453.8,219514.5,1759957.0,256159.6,1213982.3,0.3801,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2051,高,女,4136820.7,294933.1,2056305.0,288715.3,1785582.6,0.4316,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2051,高,男,3632478.2,309805.3,2044408.6,283057.8,1278264.3,0.3519,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2052,中,女,3922539.5,253084.9,1906629.1,269672.2,1762825.5,0.4494,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2052,中,男,3430118.7,265977.2,1904349.9,266071.3,1259791.6,0.3673,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2052,低,女,3643997.2,207175.5,1722296.6,251190.6,1714525.1,0.4705,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2052,低,男,3169452.7,217959.0,1732406.4,249258.2,1219087.3,0.3846,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2052,高,女,4125111.7,294361.0,2035724.6,281993.3,1795026.1,0.4351,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2052,高,男,3621758.1,309285.1,2025545.2,277280.1,1286927.8,0.3553,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2053,中,女,3903308.4,251527.8,1881384.1,262396.2,1770396.5,0.4536,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2053,中,男,3412811.7,264394.7,1881002.1,259812.7,1267414.9,0.3714,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2053,低,女,3616889.0,205222.7,1692297.3,243193.5,1719369.0,0.4754,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2053,低,男,3144858.9,215937.8,1704402.4,242346.7,1224518.7,0.3894,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2053,高,女,4111863.3,293166.5,2014281.8,275198.0,1804415.0,0.4388,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2053,高,男,3610082.7,308099.7,2005970.5,271456.7,1296012.5,0.359,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2054,中,女,3882705.1,249432.6,1855372.5,255062.3,1777900.0,0.4579,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2054,中,男,3394664.0,262237.9,1857015.4,253521.9,1275410.7,0.3757,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2054,低,女,3588638.0,202833.1,1661733.8,235162.2,1724071.1,0.4804,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2054,低,男,3119649.6,213451.0,1675932.1,235424.3,1230266.5,0.3944,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2054,高,女,4097093.5,291352.6,1991954.9,268329.0,1813786.0,0.4427,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2054,高,男,3597420.7,306253.0,1985661.0,265586.9,1305506.7,0.3629,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2055,中,女,3860748.5,246802.5,1828575.9,247670.0,1785370.1,0.4624,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2055,中,男,3375650.7,259510.9,1832370.7,247197.9,1283769.1,0.3803,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2055,低,女,3559269.0,200008.0,1630593.9,227096.2,1728667.1,0.4857,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2055,低,男,3093803.5,210500.3,1646980.9,228490.2,1236322.3,0.3996,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2055,高,女,4080818.0,288925.1,1968720.9,261385.9,1823172.0,0.4468,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2055,高,男,3583744.0,303751.7,1964592.1,259669.8,1315400.2,0.367,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2056,中,女,3837456.6,243643.6,1800975.1,240218.8,1792837.9,0.4672,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2056,中,男,3355748.4,256220.0,1807046.9,240840.1,1292481.5,0.3852,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2056,低,女,3528803.4,196749.9,1598864.2,218995.0,1733189.3,0.4912,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2056,低,男,3067301.6,207088.6,1617535.0,221543.5,1242678.0,0.4051,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2056,高,女,4063051.0,285892.6,1944554.7,254368.1,1832603.7,0.451,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2056,高,男,3569027.0,300605.7,1942737.5,253704.5,1325683.8,0.3714,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2026,中,混合,7162600.0,688400.0,4642100.0,558100.0,1832100.0,0.2558,男+女合计；可供可视化男/女/混合切换
2026,低,混合,7162600.0,688400.0,4642100.0,558100.0,1832100.0,0.2558,男+女合计；可供可视化男/女/混合切换
2026,高,混合,7162600.0,688400.0,4642100.0,558100.0,1832100.0,0.2558,男+女合计；可供可视化男/女/混合切换
2027,中,混合,7193756.3,667568.3,4610536.0,558253.0,1915652.0,0.2663,男+女合计；可供可视化男/女/混合切换
2027,低,混合,7175145.6,663131.0,4597770.5,557314.4,1914244.1,0.2668,男+女合计；可供可视化男/女/混合切换
2027,高,混合,7207267.6,671630.4,4619046.5,558878.8,1916590.7,0.2659,男+女合计；可供可视化男/女/混合切换
2028,中,混合,7224688.3,646356.4,4581408.5,558700.3,1996923.4,0.2764,男+女合计；可供可视化男/女/混合切换
2028,低,混合,7186717.7,637426.1,4555391.8,556780.9,1993899.8,0.2774,男+女合计；可供可视化男/女/混合切换
2028,高,混合,7252213.6,654522.3,4598752.2,559979.7,1998939.1,0.2756,男+女合计；可供可视化男/女/混合切换
2029,中,混合,7255646.4,624759.4,4554684.4,559438.9,2076202.6,0.2861,男+女合计；可供可视化男/女/混合切换
2029,低,混合,7197565.7,611276.3,4514937.1,556496.8,2071352.3,0.2878,男+女合计；可供可视化男/女/混合切换
2029,高,混合,7297694.1,637075.8,4581182.5,561400.2,2079435.8,0.2849,男+女合计；可供可视化男/女/混合切换
2030,中,混合,7286856.2,602773.3,4530333.2,560466.4,2153749.7,0.2956,男+女合计；可供可视化男/女/混合切换
2030,低,混合,7207910.6,584672.8,4476379.9,556459.4,2146857.9,0.2978,男+女合计；可供可视化男/女/混合切换
