年份,年龄组,性别,人数,情景,来源或假设
2026,80-84,男,78500.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,80-84,女,89700.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,85+,男,95900.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,85+,女,145300.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,0-4,男,82514.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,0-4,女,76344.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,5-9,男,116701.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,5-9,女,108362.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,10-14,男,144906.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,10-14,女,134302.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,15-19,男,151235.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,15-19,女,140768.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,20-24,男,149401.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,20-24,女,145616.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,25-29,男,177876.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,25-29,女,168949.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,30-34,男,219941.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,30-34,女,213823.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,35-39,男,237745.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,35-39,女,242992.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,40-44,男,242643.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,40-44,女,270116.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,45-49,男,236927.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,45-49,女,287046.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,50-54,男,242607.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,50-54,女,304857.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,55-59,男,243522.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,55-59,女,313792.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,60-64,男,273179.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,60-64,女,334727.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,65-69,男,286898.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,65-69,女,314501.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,70-74,男,236188.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,70-74,女,259191.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,75-79,男,172881.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,75-79,女,193364.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,80-84,男,91943.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,80-84,女,105952.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,85+,男,101926.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2027,85+,女,151395.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,0-4,男,81270.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,0-4,女,75632.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,5-9,男,108915.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,5-9,女,101044.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,10-14,男,140334.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,10-14,女,130227.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,15-19,男,152702.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,15-19,女,142251.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,20-24,男,151586.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,20-24,女,146324.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,25-29,男,172341.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,25-29,女,165288.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,30-34,男,212881.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,30-34,女,205843.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,35-39,男,237079.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,35-39,女,239980.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,40-44,男,243493.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,40-44,女,266330.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,45-49,男,239167.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,45-49,女,285118.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,50-54,男,241237.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,50-54,女,301918.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,55-59,男,243781.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,55-59,女,312999.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,60-64,男,265134.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,60-64,女,329929.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,65-69,男,282786.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,65-69,女,319628.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,70-74,男,245796.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,70-74,女,269832.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,75-79,男,181378.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,75-79,女,204590.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,80-84,男,104672.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,80-84,女,121794.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,85+,男,106752.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2028,85+,女,156666.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,0-4,男,79765.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,0-4,女,74658.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,5-9,男,101144.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,5-9,女,93748.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,10-14,男,135783.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,10-14,女,126176.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,15-19,男,153989.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,15-19,女,143535.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,20-24,男,153855.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,20-24,女,147122.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,25-29,男,166896.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,25-29,女,161717.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,30-34,男,205919.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,30-34,女,197960.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,35-39,男,236502.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,35-39,女,237065.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,40-44,男,244450.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,40-44,女,262643.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,45-49,男,241625.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,45-49,女,283422.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,50-54,男,239990.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,50-54,女,299083.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,55-59,男,244174.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,55-59,女,312322.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,60-64,男,257356.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,60-64,女,325304.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,65-69,男,279157.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,65-69,女,324986.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,70-74,男,255421.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,70-74,女,280520.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,75-79,男,189788.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,75-79,女,215776.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,80-84,男,116719.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,80-84,女,137238.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,85+,男,110538.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2029,85+,女,161204.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,0-4,男,77994.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,0-4,女,73418.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,5-9,男,93386.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,5-9,女,86472.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,10-14,男,131253.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,10-14,女,122147.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,15-19,男,155082.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,15-19,女,144606.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,20-24,男,156206.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,20-24,女,148010.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,25-29,男,161540.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,25-29,女,158235.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,30-34,男,199056.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,30-34,女,190173.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,35-39,男,236015.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,35-39,女,234244.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,40-44,男,245513.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,40-44,女,259053.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,45-49,男,244306.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,45-49,女,281964.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,50-54,男,238865.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,50-54,女,296350.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,55-59,男,244700.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,55-59,女,311759.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,60-64,男,249843.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,60-64,女,320850.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,65-69,男,276005.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,65-69,女,330581.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,70-74,男,265058.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,70-74,女,291254.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,75-79,男,198109.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,75-79,女,226922.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,80-84,男,128115.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,80-84,女,152295.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,85+,男,113426.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2030,85+,女,165089.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,0-4,男,75953.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,0-4,女,71907.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,5-9,男,85643.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,5-9,女,79217.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,10-14,男,126744.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,10-14,女,118140.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,15-19,男,155971.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,15-19,女,145453.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,20-24,男,158641.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,20-24,女,148989.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,25-29,男,156272.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,25-29,女,154843.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,30-34,男,192290.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,30-34,女,182483.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,35-39,男,235615.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,35-39,女,231520.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,40-44,男,246683.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,40-44,女,255562.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,45-49,男,247215.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,45-49,女,280750.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,50-54,男,237859.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,50-54,女,293719.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,55-59,男,245357.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,55-59,女,311308.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,60-64,男,242587.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,60-64,女,316567.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,65-69,男,273323.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,65-69,女,336417.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,70-74,男,274703.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,70-74,女,302032.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,75-79,男,206339.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,75-79,女,238027.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,80-84,男,138890.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,80-84,女,166976.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,85+,男,115540.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2031,85+,女,168396.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,0-4,男,74992.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,0-4,女,71008.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,5-9,男,84763.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,5-9,女,78873.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,10-14,男,119050.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,10-14,女,110916.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,15-19,男,151663.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,15-19,女,141664.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,20-24,男,160681.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,20-24,女,151094.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,25-29,男,158777.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,25-29,女,155897.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,30-34,男,187084.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,30-34,女,179175.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,35-39,男,228888.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,35-39,女,223895.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,40-44,男,246345.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,40-44,女,252903.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,45-49,男,248284.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,45-49,女,277222.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,50-54,男,240147.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,50-54,女,291866.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,55-59,男,244181.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,55-59,女,308591.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,60-64,男,243022.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,60-64,女,315981.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,65-69,男,265536.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,65-69,女,331739.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,70-74,男,270627.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,70-74,女,306976.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,75-79,男,215508.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,75-79,女,248387.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,80-84,男,146867.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,80-84,女,177779.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,85+,男,130235.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2032,85+,女,187222.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,0-4,男,74149.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,0-4,女,70220.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,5-9,男,83625.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,5-9,女,78273.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,10-14,男,111370.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,10-14,女,103712.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,15-19,男,147377.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,15-19,女,137898.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,20-24,男,162551.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,20-24,女,153014.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,25-29,男,161364.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,25-29,女,157042.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,30-34,男,181968.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,30-34,女,175956.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,35-39,男,222259.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,35-39,女,216368.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,40-44,男,246096.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,40-44,女,250340.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,45-49,男,249460.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,45-49,女,273795.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,50-54,男,242643.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,50-54,女,290240.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,55-59,男,243128.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,55-59,女,305980.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,60-64,男,243589.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,60-64,女,315510.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,65-69,男,258035.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,65-69,女,327237.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,70-74,男,267018.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,70-74,女,312122.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,75-79,男,224602.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,75-79,女,258740.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,80-84,男,154513.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,80-84,女,188369.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,85+,男,143092.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2033,85+,女,204394.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,0-4,男,73426.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,0-4,女,69546.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,5-9,男,82226.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,5-9,女,77411.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,10-14,男,103704.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,10-14,女,96528.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,15-19,男,143112.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,15-19,女,134154.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,20-24,男,164241.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,20-24,女,154734.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,25-29,男,164035.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,25-29,女,158278.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,30-34,男,176943.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,30-34,女,172828.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,35-39,男,215729.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,35-39,女,208938.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,40-44,男,245937.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,40-44,女,247872.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,45-49,男,250743.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,45-49,女,270468.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,50-54,男,245354.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,50-54,女,288845.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,55-59,男,242198.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,55-59,女,303472.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,60-64,男,244286.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,60-64,女,315153.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,65-69,男,250814.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,65-69,女,322908.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,70-74,男,263866.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,70-74,女,317476.7,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,75-79,男,233623.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,75-79,女,269087.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,80-84,男,161841.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,80-84,女,198752.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,85+,男,154318.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2034,85+,女,220068.2,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,0-4,男,72827.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,0-4,女,68988.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,5-9,男,80560.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,5-9,女,76283.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,10-14,男,96051.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,10-14,女,89365.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,15-19,男,138868.8,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,15-19,女,130433.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,20-24,男,165738.9,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,20-24,女,156243.5,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,25-29,男,166789.6,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,25-29,女,159604.1,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,30-34,男,172007.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,30-34,女,169789.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,35-39,男,209296.3,低,队列成分法推算；基准人口=表110-01001A中2026年中
2035,35-39,女,201604.4,低,队列成分法推算；基准人口=表110-01001A中2026年中
