性别,回报情景,退休余额_港元,退休前年薪_港元,年金化比例,年金保费_港元,剩余余额_港元,年金年收入_港元,年金月收入_港元,其他收入_港元,目标支出_港元,剩余年提取_港元,退休初期年收入_港元,耗尽后年收入_港元_终身地板,替代率_初期_vs前年薪,替代率_地板_vs前年薪,剩余可支撑年数,账户耗尽年龄,预期死亡年龄,剩余账户是否覆盖余命,终身地板覆盖目标支出_pct,权衡
男,乐观,6855592.02,802461.3,0.5,3427796.01,3427796.01,238574.6,19881.22,0.0,401230.65,162656.05,401230.65,238574.6,0.5,0.2973,33.84,98.84,83.0,是,59.46,年金化对冲长寿风险，但降低流动性与遗产弹性
男,乐观,6855592.02,802461.3,0.75,5141694.01,1713898.0,357861.9,29821.83,0.0,401230.65,43368.75,401230.65,357861.9,0.5,0.446,80.0,145.0,83.0,是,89.19,年金化对冲长寿风险，但降低流动性与遗产弹性
男,乐观,6855592.02,802461.3,1.0,6855592.02,0.0,477149.2,39762.43,0.0,401230.65,0.0,477149.2,477149.2,0.5946,0.5946,,,83.0,不适用(无穷),118.92,年金化对冲长寿风险，但降低流动性与遗产弹性
女,保守,2836460.08,802461.3,0.0,0.0,2836460.08,0.0,0.0,0.0,401230.65,401230.65,401230.65,0.0,0.5,0.0,8.06,73.06,89.0,否,0.0,年金化对冲长寿风险，但降低流动性与遗产弹性
女,保守,2836460.08,802461.3,0.25,709115.02,2127345.06,45099.72,3758.31,0.0,401230.65,356130.93,401230.65,45099.72,0.5,0.0562,6.68,71.68,89.0,否,11.24,年金化对冲长寿风险，但降低流动性与遗产弹性
女,保守,2836460.08,802461.3,0.5,1418230.04,1418230.04,90199.43,7516.62,0.0,401230.65,311031.22,401230.65,90199.43,0.5,0.1124,4.98,69.98,89.0,否,22.48,年金化对冲长寿风险，但降低流动性与遗产弹性
女,保守,2836460.08,802461.3,0.75,2127345.06,709115.02,135299.15,11274.93,0.0,401230.65,265931.5,401230.65,135299.15,0.5,0.1686,2.82,67.82,89.0,否,33.72,年金化对冲长寿风险，但降低流动性与遗产弹性
女,保守,2836460.08,802461.3,1.0,2836460.08,0.0,180398.86,15033.24,0.0,401230.65,0.0,180398.86,180398.86,0.2248,0.2248,,,89.0,不适用(无穷),44.96,年金化对冲长寿风险，但降低流动性与遗产弹性
女,基准,4241010.31,802461.3,0.0,0.0,4241010.31,0.0,0.0,0.0,401230.65,401230.65,401230.65,0.0,0.5,0.0,12.9,77.9,89.0,否,0.0,年金化对冲长寿风险，但降低流动性与遗产弹性
女,基准,4241010.31,802461.3,0.25,1060252.58,3180757.73,67432.06,5619.34,0.0,401230.65,333798.59,401230.65,67432.06,0.5,0.084,11.39,76.39,89.0,否,16.81,年金化对冲长寿风险，但降低流动性与遗产弹性
女,基准,4241010.31,802461.3,0.5,2120505.15,2120505.15,134864.13,11238.68,0.0,401230.65,266366.52,401230.65,134864.13,0.5,0.1681,9.23,74.23,89.0,否,33.61,年金化对冲长寿风险，但降低流动性与遗产弹性
女,基准,4241010.31,802461.3,0.75,3180757.73,1060252.58,202296.19,16858.02,0.0,401230.65,198934.46,401230.65,202296.19,0.5,0.2521,5.9,70.9,89.0,否,50.42,年金化对冲长寿风险，但降低流动性与遗产弹性
女,基准,4241010.31,802461.3,1.0,4241010.31,0.0,269728.26,22477.35,0.0,401230.65,0.0,269728.26,269728.26,0.3361,0.3361,,,89.0,不适用(无穷),67.23,年金化对冲长寿风险，但降低流动性与遗产弹性
女,乐观,6855592.02,802461.3,0.0,0.0,6855592.02,0.0,0.0,0.0,401230.65,401230.65,401230.65,0.0,0.5,0.0,24.32,89.32,89.0,是,0.0,年金化对冲长寿风险，但降低流动性与遗产弹性
女,乐观,6855592.02,802461.3,0.25,1713898.0,5141694.01,109003.91,9083.66,0.0,401230.65,292226.74,401230.65,109003.91,0.5,0.1358,25.39,90.39,89.0,是,27.17,年金化对冲长寿风险，但降低流动性与遗产弹性
女,乐观,6855592.02,802461.3,0.5,3427796.01,3427796.01,218007.83,18167.32,0.0,401230.65,183222.82,401230.65,218007.83,0.5,0.2717,27.87,92.87,89.0,是,54.33,年金化对冲长寿风险，但降低流动性与遗产弹性
女,乐观,6855592.02,802461.3,0.75,5141694.01,1713898.0,327011.74,27250.98,0.0,401230.65,74218.91,401230.65,327011.74,0.5,0.4075,39.93,104.93,89.0,是,81.5,年金化对冲长寿风险，但降低流动性与遗产弹性
女,乐观,6855592.02,802461.3,1.0,6855592.02,0.0,436015.65,36334.64,0.0,401230.65,0.0,436015.65,436015.65,0.5433,0.5433,,,89.0,不适用(无穷),108.67,年金化对冲长寿风险，但降低流动性与遗产弹性
