年份,情景,情景标签,人口_65岁及以上_万人,综合有效领取率,申请率,资产审查通过率,合资格长者_万人,平均每月津贴_港元,年支出_亿港元,津贴通胀率,津贴来源,公式
2046,中,基准,289.7434,0.060502,0.110004,0.55,17.5301,14444.4,303.8542,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2047,中,基准,292.0652,0.060502,0.110004,0.55,17.6706,14805.51,313.9464,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2048,中,基准,294.3159,0.060502,0.110004,0.55,17.8067,15175.65,324.2748,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2049,中,基准,296.509,0.060502,0.110004,0.55,17.9394,15555.04,334.8583,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2050,中,基准,298.6567,0.060502,0.110004,0.55,18.0694,15943.92,345.7161,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2051,中,基准,300.7701,0.060502,0.110004,0.55,18.1972,16342.52,356.8664,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2052,中,基准,302.2617,0.060502,0.110004,0.55,18.2875,16751.08,367.6023,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2053,中,基准,303.7811,0.060502,0.110004,0.55,18.3794,17169.86,378.6862,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2054,中,基准,305.3311,0.060502,0.110004,0.55,18.4732,17599.1,390.1339,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2055,中,基准,306.9139,0.060502,0.110004,0.55,18.569,18039.08,401.9602,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2056,中,基准,308.5319,0.060502,0.110004,0.55,18.6668,18490.06,414.1814,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
