年份,情景,情景标签,人口_65岁及以上_万人,综合有效领取率,申请率,资产审查通过率,合资格长者_万人,平均每月津贴_港元,年支出_亿港元,津贴通胀率,津贴来源,公式
2039,低,保守（支出偏低）,262.8841,0.054452,0.099004,0.55,14.3146,10593.1,181.9625,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2040,低,保守（支出偏低）,266.8188,0.054452,0.099004,0.55,14.5288,10752.0,187.4563,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2041,低,保守（支出偏低）,270.5424,0.054452,0.099004,0.55,14.7316,10913.28,192.9235,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2042,低,保守（支出偏低）,273.5534,0.054452,0.099004,0.55,14.8955,11076.97,197.9966,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2043,低,保守（支出偏低）,276.3312,0.054452,0.099004,0.55,15.0468,11243.13,203.0073,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2044,低,保守（支出偏低）,278.9011,0.054452,0.099004,0.55,15.1867,11411.78,207.9688,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2045,低,保守（支出偏低）,281.2856,0.054452,0.099004,0.55,15.3165,11582.95,212.8931,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2046,低,保守（支出偏低）,283.5044,0.054452,0.099004,0.55,15.4374,11756.7,217.791,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2047,低,保守（支出偏低）,285.419,0.054452,0.099004,0.55,15.5416,11933.05,222.5507,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2048,低,保守（支出偏低）,287.2473,0.054452,0.099004,0.55,15.6412,12112.04,227.336,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2049,低,保守（支出偏低）,289.0034,0.054452,0.099004,0.55,15.7368,12293.72,232.1567,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2050,低,保守（支出偏低）,290.7,0.054452,0.099004,0.55,15.8292,12478.13,237.0223,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2051,低,保守（支出偏低）,292.3483,0.054452,0.099004,0.55,15.9189,12665.3,241.9417,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2052,低,保守（支出偏低）,293.3612,0.054452,0.099004,0.55,15.9741,12855.28,246.4217,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2053,低,保守（支出偏低）,294.3888,0.054452,0.099004,0.55,16.03,13048.11,250.9941,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2054,低,保守（支出偏低）,295.4338,0.054452,0.099004,0.55,16.0869,13243.83,255.6633,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2055,低,保守（支出偏低）,296.4989,0.054452,0.099004,0.55,16.1449,13442.49,260.4338,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2056,低,保守（支出偏低）,297.5867,0.054452,0.099004,0.55,16.2042,13644.13,265.3101,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
