年份,提取理由,金额_亿港元,占其他提取比例,占全部提取比例,情景,情景标签,来源或假设
2032,抵销遣散费_长期服务金,8.642,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,其他合计,34.5682,1.0,0.12,低,保守,总提取的10%–15%取12%
2033,提早退休,12.7594,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,永久离港,9.1138,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,丧失行为能力_末期_死亡,5.4683,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,抵销遣散费_长期服务金,9.1138,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,其他合计,36.4554,1.0,0.12,低,保守,总提取的10%–15%取12%
2034,提早退休,13.4438,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,永久离港,9.6027,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,丧失行为能力_末期_死亡,5.7616,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,抵销遣散费_长期服务金,9.6027,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,其他合计,38.4108,1.0,0.12,低,保守,总提取的10%–15%取12%
2035,提早退休,14.1536,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,永久离港,10.1097,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,丧失行为能力_末期_死亡,6.0658,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,抵销遣散费_长期服务金,10.1097,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,其他合计,40.4387,1.0,0.12,低,保守,总提取的10%–15%取12%
2036,提早退休,14.8902,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,永久离港,10.6359,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,丧失行为能力_末期_死亡,6.3815,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,抵销遣散费_长期服务金,10.6359,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,其他合计,42.5435,1.0,0.12,低,保守,总提取的10%–15%取12%
2037,提早退休,15.5304,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,永久离港,11.0931,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,丧失行为能力_末期_死亡,6.6559,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,抵销遣散费_长期服务金,11.0931,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,其他合计,44.3726,1.0,0.12,低,保守,总提取的10%–15%取12%
2038,提早退休,16.1808,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,永久离港,11.5577,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,丧失行为能力_末期_死亡,6.9346,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,抵销遣散费_长期服务金,11.5577,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,其他合计,46.2308,1.0,0.12,低,保守,总提取的10%–15%取12%
2039,提早退休,16.8411,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,永久离港,12.0294,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,丧失行为能力_末期_死亡,7.2176,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,抵销遣散费_长期服务金,12.0294,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,其他合计,48.1174,1.0,0.12,低,保守,总提取的10%–15%取12%
2040,提早退休,17.5112,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,永久离港,12.508,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,丧失行为能力_末期_死亡,7.5048,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,抵销遣散费_长期服务金,12.508,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,其他合计,50.0319,1.0,0.12,低,保守,总提取的10%–15%取12%
2041,提早退休,18.1908,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,永久离港,12.9934,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,丧失行为能力_末期_死亡,7.796,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,抵销遣散费_长期服务金,12.9934,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,其他合计,51.9736,1.0,0.12,低,保守,总提取的10%–15%取12%
2042,提早退休,19.0035,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,永久离港,13.5739,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,丧失行为能力_末期_死亡,8.1444,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,抵销遣散费_长期服务金,13.5739,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,其他合计,54.2958,1.0,0.12,低,保守,总提取的10%–15%取12%
2043,提早退休,19.8442,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,永久离港,14.1744,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,丧失行为能力_末期_死亡,8.5047,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,抵销遣散费_长期服务金,14.1744,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,其他合计,56.6978,1.0,0.12,低,保守,总提取的10%–15%取12%
2044,提早退休,20.7126,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,永久离港,14.7947,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,丧失行为能力_末期_死亡,8.8768,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,抵销遣散费_长期服务金,14.7947,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,其他合计,59.179,1.0,0.12,低,保守,总提取的10%–15%取12%
2045,提早退休,21.6018,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,永久离港,15.4299,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,丧失行为能力_末期_死亡,9.2579,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,抵销遣散费_长期服务金,15.4299,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,其他合计,61.7195,1.0,0.12,低,保守,总提取的10%–15%取12%
2046,提早退休,22.5135,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,永久离港,16.081,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,丧失行为能力_末期_死亡,9.6486,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,抵销遣散费_长期服务金,16.081,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,其他合计,64.3242,1.0,0.12,低,保守,总提取的10%–15%取12%
2047,提早退休,23.2649,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,永久离港,16.6178,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,丧失行为能力_末期_死亡,9.9707,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,抵销遣散费_长期服务金,16.6178,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,其他合计,66.4712,1.0,0.12,低,保守,总提取的10%–15%取12%
2048,提早退休,24.0196,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,永久离港,17.1569,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,丧失行为能力_末期_死亡,10.2941,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,抵销遣散费_长期服务金,17.1569,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,其他合计,68.6274,1.0,0.12,低,保守,总提取的10%–15%取12%
2049,提早退休,24.7777,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,永久离港,17.6984,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,丧失行为能力_末期_死亡,10.619,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,抵销遣散费_长期服务金,17.6984,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,其他合计,70.7934,1.0,0.12,低,保守,总提取的10%–15%取12%
2050,提早退休,25.5395,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,永久离港,18.2425,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,丧失行为能力_末期_死亡,10.9455,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,抵销遣散费_长期服务金,18.2425,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,其他合计,72.9699,1.0,0.12,低,保守,总提取的10%–15%取12%
2051,提早退休,26.3052,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,永久离港,18.7894,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,丧失行为能力_末期_死亡,11.2736,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,抵销遣散费_长期服务金,18.7894,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,其他合计,75.1576,1.0,0.12,低,保守,总提取的10%–15%取12%
2052,提早退休,27.031,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,永久离港,19.3079,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,丧失行为能力_末期_死亡,11.5847,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,抵销遣散费_长期服务金,19.3079,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,其他合计,77.2315,1.0,0.12,低,保守,总提取的10%–15%取12%
2053,提早退休,27.7579,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,永久离港,19.8271,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,丧失行为能力_末期_死亡,11.8963,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,抵销遣散费_长期服务金,19.8271,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,其他合计,79.3083,1.0,0.12,低,保守,总提取的10%–15%取12%
2054,提早退休,28.4841,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,永久离港,20.3458,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,丧失行为能力_末期_死亡,12.2075,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,抵销遣散费_长期服务金,20.3458,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,其他合计,81.383,1.0,0.12,低,保守,总提取的10%–15%取12%
2055,提早退休,29.2075,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,永久离港,20.8625,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,丧失行为能力_末期_死亡,12.5175,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,抵销遣散费_长期服务金,20.8625,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,其他合计,83.4501,1.0,0.12,低,保守,总提取的10%–15%取12%
2056,提早退休,29.9262,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,永久离港,21.3759,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,丧失行为能力_末期_死亡,12.8255,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,抵销遣散费_长期服务金,21.3759,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,其他合计,85.5035,1.0,0.12,低,保守,总提取的10%–15%取12%
2026,提早退休,9.4524,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,永久离港,6.7517,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,丧失行为能力_末期_死亡,4.051,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,抵销遣散费_长期服务金,6.7517,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,其他合计,27.0068,1.0,0.12,中,基准,总提取的10%–15%取12%
2027,提早退休,10.046,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,永久离港,7.1757,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,丧失行为能力_末期_死亡,4.3054,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,抵销遣散费_长期服务金,7.1757,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,其他合计,28.703,1.0,0.12,中,基准,总提取的10%–15%取12%
2028,提早退休,10.6511,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,永久离港,7.6079,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,丧失行为能力_末期_死亡,4.5648,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,抵销遣散费_长期服务金,7.6079,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,其他合计,30.4318,1.0,0.12,中,基准,总提取的10%–15%取12%
2029,提早退休,11.2692,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,永久离港,8.0495,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,丧失行为能力_末期_死亡,4.8297,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,抵销遣散费_长期服务金,8.0495,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,其他合计,32.1978,1.0,0.12,中,基准,总提取的10%–15%取12%
2030,提早退休,11.9021,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,永久离港,8.5015,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,丧失行为能力_末期_死亡,5.1009,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,抵销遣散费_长期服务金,8.5015,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,其他合计,34.0059,1.0,0.12,中,基准,总提取的10%–15%取12%
2031,提早退休,12.5514,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,永久离港,8.9653,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,丧失行为能力_末期_死亡,5.3792,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,抵销遣散费_长期服务金,8.9653,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,其他合计,35.8611,1.0,0.12,中,基准,总提取的10%–15%取12%
2032,提早退休,13.4806,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,永久离港,9.629,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,丧失行为能力_末期_死亡,5.7774,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,抵销遣散费_长期服务金,9.629,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,其他合计,38.516,1.0,0.12,中,基准,总提取的10%–15%取12%
2033,提早退休,14.4605,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,永久离港,10.3289,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,丧失行为能力_末期_死亡,6.1974,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,抵销遣散费_长期服务金,10.3289,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,其他合计,41.3158,1.0,0.12,中,基准,总提取的10%–15%取12%
2034,提早退休,15.4946,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,永久离港,11.0675,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,丧失行为能力_末期_死亡,6.6405,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,抵销遣散费_长期服务金,11.0675,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,其他合计,44.2702,1.0,0.12,中,基准,总提取的10%–15%取12%
2035,提早退休,16.5863,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,永久离港,11.8474,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,丧失行为能力_末期_死亡,7.1084,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,抵销遣散费_长期服务金,11.8474,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,其他合计,47.3896,1.0,0.12,中,基准,总提取的10%–15%取12%
2036,提早退休,17.7397,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,永久离港,12.6712,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,丧失行为能力_末期_死亡,7.6027,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,抵销遣散费_长期服务金,12.6712,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,其他合计,50.6848,1.0,0.12,中,基准,总提取的10%–15%取12%
2037,提早退休,18.8072,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,永久离港,13.4337,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,丧失行为能力_末期_死亡,8.0602,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,抵销遣散费_长期服务金,13.4337,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,其他合计,53.735,1.0,0.12,中,基准,总提取的10%–15%取12%
2038,提早退休,19.9152,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,永久离港,14.2251,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,丧失行为能力_末期_死亡,8.5351,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,抵销遣散费_长期服务金,14.2251,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,其他合计,56.9005,1.0,0.12,中,基准,总提取的10%–15%取12%
2039,提早退休,21.0519,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,永久离港,15.0371,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,丧失行为能力_末期_死亡,9.0223,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,抵销遣散费_长期服务金,15.0371,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,其他合计,60.1484,1.0,0.12,中,基准,总提取的10%–15%取12%
2040,提早退休,22.2135,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,永久离港,15.8668,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,丧失行为能力_末期_死亡,9.5201,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,抵销遣散费_长期服务金,15.8668,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,其他合计,63.467,1.0,0.12,中,基准,总提取的10%–15%取12%
2041,提早退休,23.4002,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,永久离港,16.7144,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,丧失行为能力_末期_死亡,10.0286,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,抵销遣散费_长期服务金,16.7144,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,其他合计,66.8576,1.0,0.12,中,基准,总提取的10%–15%取12%
2042,提早退休,24.7741,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
