年份,情景,情景标签,总资产_期初_亿港元,加权净回报率,投资损益_亿港元,总供款_亿港元,退休提取_亿港元,其他提取_亿港元,总提取_亿港元,净现金流_供款减提取_亿港元,经济净流入_含回报_亿港元,总资产_期末_亿港元,账户数_万个,系统户均余额_万港元,回报假设来源
2050,中,基准,80807.1457,0.049,3959.5501,1061.3052,772.3481,105.3202,877.6683,183.6369,4143.187,84950.3327,1239.88,65.1736,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2051,中,基准,84950.3327,0.049,4162.5663,1045.3423,806.0075,109.9101,915.9176,129.4247,4291.991,89242.3237,1246.08,68.1743,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2052,中,基准,89242.3237,0.049,4372.8739,1031.505,839.2789,114.4471,953.726,77.779,4450.6528,93692.9766,1252.31,71.2624,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2053,中,基准,93692.9766,0.049,4590.9559,1017.1179,873.4144,119.102,992.5163,24.6016,4615.5574,98308.534,1258.57,74.4442,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2054,中,基准,98308.534,0.049,4817.1182,1002.1834,908.3868,123.8709,1032.2577,-30.0743,4787.0439,103095.5779,1264.86,77.7229,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2055,中,基准,103095.5779,0.049,5051.6833,986.7039,944.1609,128.7492,1072.9102,-86.2063,4965.477,108061.0549,1271.18,81.102,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2056,中,基准,108061.0549,0.049,5294.9917,970.6817,980.6928,133.7308,1114.4236,-143.7419,5151.2498,113212.3047,1277.54,84.5853,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2026,高,乐观,16700.0,0.07,1169.0,931.2297,198.0499,27.0068,225.0567,706.173,1875.173,18575.173,1100.0,15.1818,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2027,高,乐观,18575.173,0.07,1300.2621,960.1473,214.833,29.2954,244.1284,716.0189,2016.281,20591.454,1105.5,16.8025,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2028,高,乐观,20591.454,0.07,1441.4018,990.5416,232.3498,31.6841,264.0339,726.5077,2167.9095,22759.3635,1111.03,18.5337,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2029,高,乐观,22759.3635,0.07,1593.1554,1022.5083,250.6623,34.1812,284.8435,737.6648,2330.8203,25090.1838,1116.58,20.3831,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2030,高,乐观,25090.1838,0.07,1756.3129,1056.1497,269.8371,36.796,306.6331,749.5166,2505.8294,27596.0132,1122.17,22.3587,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2031,高,乐观,27596.0132,0.07,1931.7209,1091.5749,289.9469,39.5382,329.4851,762.0898,2693.8107,30289.824,1127.78,24.4694,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2032,高,乐观,30289.824,0.07,2120.2877,1130.8757,317.2239,43.2578,360.4817,770.394,2890.6817,33180.5057,1133.42,26.7244,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2033,高,乐观,33180.5057,0.07,2322.6354,1172.1727,346.5528,47.2572,393.81,778.3627,3100.9981,36281.5038,1139.08,29.1292,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2034,高,乐观,36281.5038,0.07,2539.7053,1215.5802,378.099,51.559,429.658,785.9222,3325.6275,39607.1312,1144.78,31.6931,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2035,高,乐观,39607.1312,0.07,2772.4992,1236.5823,412.0414,56.1875,468.2288,768.3535,3540.8527,43147.9839,1150.5,34.426,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2036,高,乐观,43147.9839,0.07,3020.3589,1234.5434,448.3159,61.134,509.4499,725.0935,3745.4523,46893.4362,1156.25,37.317,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2037,高,乐观,46893.4362,0.07,3282.5405,1230.2598,482.966,65.859,548.825,681.4348,3963.9753,50857.4115,1162.04,40.3546,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2038,高,乐观,50857.4115,0.07,3560.0188,1225.3084,519.1686,70.7957,589.9643,635.3441,4195.3629,55052.7744,1167.85,43.5481,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2039,高,乐观,55052.7744,0.07,3853.6942,1219.6748,556.9941,75.9537,632.9478,586.727,4440.4212,59493.1956,1173.68,46.9059,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2040,高,乐观,59493.1956,0.07,4164.5237,1213.3451,596.5168,81.3432,677.86,535.4851,4700.0088,64193.2044,1179.55,50.4371,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2041,高,乐观,64193.2044,0.07,4493.5243,1206.305,637.8142,86.9747,724.7888,481.5162,4975.0405,69168.2449,1185.45,54.1509,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2042,高,乐观,69168.2449,0.07,4841.7771,1196.6688,685.4383,93.4689,778.9072,417.7616,5259.5388,74427.7837,1191.38,58.0573,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2043,高,乐观,74427.7837,0.07,5209.9449,1186.2183,735.9765,100.3604,836.3369,349.8814,5559.8262,79987.6099,1197.34,62.1612,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2044,高,乐观,79987.6099,0.07,5599.1327,1174.9503,789.6594,107.6808,897.3402,277.6101,5876.7428,85864.3527,1203.32,66.4723,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2045,高,乐观,85864.3527,0.07,6010.5047,1162.8615,846.7378,115.4642,962.202,200.6595,6211.1642,92075.5169,1209.34,71.0011,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2046,高,乐观,92075.5169,0.07,6445.2862,1149.9487,907.4843,123.7479,1031.2321,118.7166,6564.0028,98639.5196,1215.39,75.7583,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2047,高,乐观,98639.5196,0.07,6904.7664,1136.0061,964.5545,131.5302,1096.0847,39.9214,6944.6878,105584.2074,1221.46,80.7553,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2048,高,乐观,105584.2074,0.07,7390.8945,1121.4557,1024.5031,139.705,1164.208,-42.7523,7348.1422,112932.3496,1227.57,86.0108,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2049,高,乐观,112932.3496,0.07,7905.2645,1106.3016,1087.498,148.2952,1235.7932,-129.4916,7775.7729,120708.1225,1233.71,91.539,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2050,高,乐观,120708.1225,0.07,8449.5686,1090.5483,1153.7184,157.3252,1311.0437,-220.4954,8229.0732,128937.1957,1239.88,97.355,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2051,高,乐观,128937.1957,0.07,9025.6037,1074.2004,1223.3541,166.821,1390.1751,-315.9747,8709.6289,137646.8246,1246.08,103.4747,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2052,高,乐观,137646.8246,0.07,9635.2777,1060.0099,1294.4988,176.5226,1471.0213,-411.0114,9224.2663,146871.0909,1252.31,109.9147,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2053,高,乐观,146871.0909,0.07,10280.9764,1045.2594,1369.1455,186.7017,1555.8472,-510.5878,9770.3886,156641.4795,1258.57,116.6971,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2054,高,乐观,156641.4795,0.07,10964.9036,1029.9509,1447.3926,197.3717,1644.7644,-614.8135,10350.0901,166991.5696,1264.86,123.841,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2055,高,乐观,166991.5696,0.07,11689.4099,1014.0866,1529.3277,208.5447,1737.8723,-723.7857,10965.6241,177957.1937,1271.18,131.3669,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
2056,高,乐观,177957.1937,0.07,12457.0036,997.6685,1615.0252,220.2307,1835.2559,-837.5874,11619.4161,189576.6099,1277.54,139.2968,参考DIS核心累积历史约7.3%[citation:5]，情景取7.0%
