年份,性别,新达65岁人数_人,实际提取比例,人均账户余额_万港元,退休提取人数_人,退休提取金额_亿港元,情景,情景标签,来源或假设
2032,男,49202.0,1.0,22.4238,49202.0,110.3294,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2032,女,63847.6,1.0,22.4238,63847.6,143.1704,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2032,混合,113049.6,1.0,22.4238,113049.6,253.4998,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2033,男,49428.4,1.0,23.5945,49428.4,116.6238,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2033,女,63877.5,1.0,23.5945,63877.5,150.7158,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2033,混合,113305.8,1.0,23.5945,113305.8,267.3396,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2034,男,49684.7,1.0,24.7915,49684.7,123.1759,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2034,女,63934.6,1.0,24.7915,63934.6,158.5035,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2034,混合,113619.3,1.0,24.7915,113619.3,281.6794,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2035,男,49970.7,1.0,26.0156,49970.7,130.0017,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2035,女,64018.9,1.0,26.0156,64018.9,166.549,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2035,混合,113989.6,1.0,26.0156,113989.6,296.5507,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2036,男,50286.0,1.0,27.2676,50286.0,137.1179,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2036,女,64130.2,1.0,27.2676,64130.2,174.8676,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2036,混合,114416.2,1.0,27.2676,114416.2,311.9856,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2037,男,50217.3,1.0,28.5484,50217.3,143.3624,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2037,女,63764.2,1.0,28.5484,63764.2,182.0367,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2037,混合,113981.6,1.0,28.5484,113981.6,325.399,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2038,男,50147.9,1.0,29.8595,50147.9,149.7389,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2038,女,63392.5,1.0,29.8595,63392.5,189.2867,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2038,混合,113540.4,1.0,29.8595,113540.4,339.0256,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2039,男,50077.6,1.0,31.2011,50077.6,156.2476,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2039,女,63014.9,1.0,31.2011,63014.9,196.6134,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2039,混合,113092.4,1.0,31.2011,113092.4,352.861,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2040,男,50006.4,1.0,32.5735,50006.4,162.8885,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2040,女,62631.3,1.0,32.5735,62631.3,204.0122,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2040,混合,112637.7,1.0,32.5735,112637.7,366.9007,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2041,男,49934.2,1.0,33.977,49934.2,169.6612,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2041,女,62241.7,1.0,33.977,62241.7,211.4783,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2041,混合,112175.9,1.0,33.977,112175.9,381.1395,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2042,男,50468.2,1.0,35.4116,50468.2,178.716,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2042,女,61972.1,1.0,35.4116,61972.1,219.4531,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2042,混合,112440.3,1.0,35.4116,112440.3,398.1691,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2043,男,51027.7,1.0,36.8733,51027.7,188.156,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2043,女,61732.4,1.0,36.8733,61732.4,227.6278,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2043,混合,112760.1,1.0,36.8733,112760.1,415.7838,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2044,男,51614.1,1.0,38.3583,51614.1,197.9827,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2044,女,61524.2,1.0,38.3583,61524.2,235.9964,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2044,混合,113138.3,1.0,38.3583,113138.3,433.979,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2045,男,52228.8,1.0,39.8501,52228.8,208.1324,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2045,女,61349.3,1.0,39.8501,61349.3,244.4776,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2045,混合,113578.1,1.0,39.8501,113578.1,452.61,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2046,男,52873.4,1.0,41.3482,52873.4,218.622,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2046,女,61209.2,1.0,41.3482,61209.2,253.0888,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2046,混合,114082.6,1.0,41.3482,114082.6,471.7107,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2047,男,53157.5,1.0,42.8518,53157.5,227.789,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2047,女,60596.5,1.0,42.8518,60596.5,259.6666,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2047,混合,113754.0,1.0,42.8518,113754.0,487.4557,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2048,男,53449.8,1.0,44.3637,53449.8,237.1232,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2048,女,59991.5,1.0,44.3637,59991.5,266.1445,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2048,混合,113441.3,1.0,44.3637,113441.3,503.2677,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2049,男,53750.4,1.0,45.884,53750.4,246.6283,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2049,女,59394.0,1.0,45.884,59394.0,272.5234,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2049,混合,113144.4,1.0,45.884,113144.4,519.1517,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2050,男,54059.2,1.0,47.4125,54059.2,256.3081,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2050,女,58804.0,1.0,47.4125,58804.0,278.8046,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2050,混合,112863.2,1.0,47.4125,112863.2,535.1127,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2051,男,54376.1,1.0,48.9492,54376.1,266.1666,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2051,女,58221.5,1.0,48.9492,58221.5,284.9894,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2051,混合,112597.5,1.0,48.9492,112597.5,551.156,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2052,男,54389.7,1.0,50.494,54389.7,274.6351,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2052,女,57775.1,1.0,50.494,57775.1,291.7295,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2052,混合,112164.8,1.0,50.494,112164.8,566.3646,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2053,男,54406.0,1.0,52.0499,54406.0,283.1829,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2053,女,57331.8,1.0,52.0499,57331.8,298.4116,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2053,混合,111737.9,1.0,52.0499,111737.9,581.5945,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2054,男,54421.8,1.0,53.617,54421.8,291.7934,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2054,女,56887.8,1.0,53.617,56887.8,305.0156,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2054,混合,111309.6,1.0,53.617,111309.6,596.809,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2055,男,54433.5,1.0,55.1955,54433.5,300.4481,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2055,女,56439.4,1.0,55.1955,56439.4,311.5196,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2055,混合,110872.8,1.0,55.1955,110872.8,611.9677,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2056,男,54437.7,1.0,56.7854,54437.7,309.1265,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2056,女,55982.6,1.0,56.7854,55982.6,317.8994,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2056,混合,110420.3,1.0,56.7854,110420.3,627.026,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2026,男,56300.0,1.0,15.9409,56300.0,89.7473,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2026,女,67940.0,1.0,15.9409,67940.0,108.3025,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2026,混合,124240.0,1.0,15.9409,124240.0,198.0499,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2027,男,54726.1,1.0,17.2859,54726.1,94.5987,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2027,女,67043.2,1.0,17.2859,67043.2,115.8898,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2027,混合,121769.2,1.0,17.2859,121769.2,210.4885,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2028,男,53210.8,1.0,18.6912,53210.8,99.4575,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2028,女,66185.5,1.0,18.6912,66185.5,123.7089,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2028,混合,119396.3,1.0,18.6912,119396.3,223.1664,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2029,男,51753.0,1.0,20.1603,51753.0,104.3357,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2029,女,65366.8,1.0,20.1603,65366.8,131.7816,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2029,混合,117119.8,1.0,20.1603,117119.8,236.1173,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2030,男,50351.7,1.0,21.6965,50351.7,109.2456,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2030,女,64586.8,1.0,21.6965,64586.8,140.1308,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2030,混合,114938.5,1.0,21.6965,114938.5,249.3764,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2031,男,49005.9,1.0,23.3034,49005.9,114.2002,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2031,女,63845.2,1.0,23.3034,63845.2,148.781,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2031,混合,112851.1,1.0,23.3034,112851.1,262.9812,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2032,男,49202.0,1.0,24.9847,49202.0,122.9294,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2032,女,63847.6,1.0,24.9847,63847.6,159.521,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2032,混合,113049.6,1.0,24.9847,113049.6,282.4505,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2033,男,49428.4,1.0,26.7402,49428.4,132.1725,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2033,女,63877.5,1.0,26.7402,63877.5,170.8098,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2033,混合,113305.8,1.0,26.7402,113305.8,302.9823,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2034,男,49684.7,1.0,28.5733,49684.7,141.9656,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2034,女,63934.6,1.0,28.5733,63934.6,182.6824,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2034,混合,113619.3,1.0,28.5733,113619.3,324.648,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2035,男,49970.7,1.0,30.4873,49970.7,152.3471,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2035,女,64018.9,1.0,30.4873,64018.9,195.1763,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2035,混合,113989.6,1.0,30.4873,113989.6,347.5234,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2036,男,50286.0,1.0,32.4856,50286.0,163.3573,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2036,女,64130.2,1.0,32.4856,64130.2,208.3309,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2036,混合,114416.2,1.0,32.4856,114416.2,371.6882,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2037,男,50217.3,1.0,34.5719,50217.3,173.611,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2037,女,63764.2,1.0,34.5719,63764.2,220.4453,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2037,混合,113981.6,1.0,34.5719,113981.6,394.0563,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2038,男,50147.9,1.0,36.7508,50147.9,184.2975,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2038,女,63392.5,1.0,36.7508,63392.5,232.9727,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2038,混合,113540.4,1.0,36.7508,113540.4,417.2702,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2039,男,50077.6,1.0,39.0024,50077.6,195.3148,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2039,女,63014.9,1.0,39.0024,63014.9,245.7733,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2039,混合,113092.4,1.0,39.0024,113092.4,441.0881,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2040,男,50006.4,1.0,41.3205,50006.4,206.6291,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2040,女,62631.3,1.0,41.3205,62631.3,258.7958,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2040,混合,112637.7,1.0,41.3205,112637.7,465.4249,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2041,男,49934.2,1.0,43.7072,49934.2,218.2484,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2041,女,62241.7,1.0,43.7072,62241.7,272.041,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2041,混合,112175.9,1.0,43.7072,112175.9,490.2894,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2042,男,50468.2,1.0,46.1646,50468.2,232.9847,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2042,女,61972.1,1.0,46.1646,61972.1,286.0918,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2042,混合,112440.3,1.0,46.1646,112440.3,519.0765,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2043,男,51027.7,1.0,48.69,51027.7,248.4538,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2043,女,61732.4,1.0,48.69,61732.4,300.575,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2043,混合,112760.1,1.0,48.69,112760.1,549.0287,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2044,男,51614.1,1.0,51.2848,51614.1,264.7018,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2044,女,61524.2,1.0,51.2848,61524.2,315.5259,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2044,混合,113138.3,1.0,51.2848,113138.3,580.2278,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2045,男,52228.8,1.0,53.9506,52228.8,281.7779,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2045,女,61349.3,1.0,53.9506,61349.3,330.9833,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2045,混合,113578.1,1.0,53.9506,113578.1,612.7612,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2046,男,52873.4,1.0,56.689,52873.4,299.734,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2046,女,61209.2,1.0,56.689,61209.2,346.9886,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2046,混合,114082.6,1.0,56.689,114082.6,646.7226,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2047,男,53157.5,1.0,59.5013,53157.5,316.2937,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2047,女,60596.5,1.0,59.5013,60596.5,360.557,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2047,混合,113754.0,1.0,59.5013,113754.0,676.8507,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2048,男,53449.8,1.0,62.3942,53449.8,333.4956,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2048,女,59991.5,1.0,62.3942,59991.5,374.3117,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2048,混合,113441.3,1.0,62.3942,113441.3,707.8074,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2049,男,53750.4,1.0,65.3703,53750.4,351.3676,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2049,女,59394.0,1.0,65.3703,59394.0,388.2599,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2049,混合,113144.4,1.0,65.3703,113144.4,739.6275,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2050,男,54059.2,1.0,68.4323,54059.2,369.9391,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2050,女,58804.0,1.0,68.4323,58804.0,402.4091,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2050,混合,112863.2,1.0,68.4323,112863.2,772.3481,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2051,男,54376.1,1.0,71.583,54376.1,389.2405,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2051,女,58221.5,1.0,71.583,58221.5,416.7669,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2051,混合,112597.5,1.0,71.583,112597.5,806.0075,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2052,男,54389.7,1.0,74.8255,54389.7,406.9736,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2052,女,57775.1,1.0,74.8255,57775.1,432.3053,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
